step,loss_V,weight_norm_sq_C,K_est,lr,cond
1,10.350029945373535,10008455.141366186,103587810.42006774,0.0005,baseline
2,9.294992446899414,10008349.700028384,93027534.86769184,0.0004999997224174333,baseline
3,8.403118133544922,10008238.935762169,84100414.08595341,0.0004999988896704182,baseline
4,7.832399368286133,10008122.301215252,78387610.7897687,0.0004999975017610091,baseline
5,7.835652828216553,10008004.771131964,78419250.88972493,0.0004999955586926308,baseline
10,6.803341865539551,10007451.753232488,68084115.48013377,0.0004999775161819445,baseline
20,6.36885929107666,10006620.282251438,63730756.55689322,0.0004998998001107488,baseline
30,6.000668048858643,10005905.729370167,60042118.8101232,0.0004997665933791235,baseline
40,5.783665657043457,10005173.451302033,57866578.08305852,0.0004995779288538368,baseline
50,5.546396255493164,10004421.774376798,55488487.46777775,0.000499333853085037,baseline
60,5.464189052581787,10003692.916414851,54662069.319264,0.0004990344262947681,baseline
70,5.350133419036865,10002960.049409263,53517170.84963515,0.0004986797223621099,baseline
80,5.270209789276123,10002222.201626841,52713809.361528754,0.0004982698288049504,baseline
90,5.336353302001953,10001476.496226711,53371412.12553433,0.0004978048467583915,baseline
100,5.282593250274658,10000752.66095011,52829908.50440138,0.0004972848909497955,baseline
110,5.05904483795166,10000033.49344083,50590617.82433553,0.0004967100896704777,baseline
120,4.878432273864746,9999329.389301362,48781051.20977202,0.0004960805847440531,baseline
130,5.141112804412842,9998632.335841589,51404096.72841147,0.0004953965314914427,baseline
140,5.0488667488098145,9997943.078521919,50478282.36564255,0.0004946580986925508,baseline
150,4.827025890350342,9997239.905607272,48256935.85640991,0.0004938654685446213,baseline
160,4.834106922149658,9996579.375040596,48324533.55470225,0.0004930188366172827,baseline
170,5.054299831390381,9995944.301292416,50522499.5966099,0.0004921184118042946,baseline
180,4.65211820602417,9995337.987327702,46499493.82621219,0.0004911644162720063,baseline
190,4.919586658477783,9994749.459266355,49170036.0946348,0.0004901570854045406,baseline
200,4.671069145202637,9994183.082280539,46683520.22714681,0.0004890966677457158,baseline
210,4.602320194244385,9993618.492645347,45993832.20227581,0.0004879834249377221,baseline
220,4.559347629547119,9993079.119901609,45561921.59720021,0.0004868176316565643,baseline
230,4.798195838928223,9992541.698723756,47946171.99913308,0.00048559957554429053,baseline
240,4.806177139282227,9992022.762880962,48023431.37814611,0.0004843295571380203,baseline
250,4.362941741943359,9991500.745438281,43592335.66693087,0.00048300788979579166,baseline
260,4.42343282699585,9990987.554455936,44194462.32248737,0.00048163489961924465,baseline
270,4.51630163192749,9990473.046540393,45119989.72381798,0.00048021092537316114,baseline
280,4.564010143280029,9989917.27087868,45594083.75481864,0.00047873631840187876,baseline
290,4.656642913818359,9989384.61792785,46516997.09447984,0.00047721144254260267,baseline
300,4.6070475578308105,9988873.418510426,46019214.88822956,0.0004756366740356339,baseline
310,4.26820182800293,9988343.917270916,42632267.76641767,0.0004740124014315379,baseline
320,4.436747074127197,9987761.56772296,44313171.91267491,0.0004723390254952751,baseline
330,4.224523544311523,9987165.200980226,42191014.53246969,0.0004706169591073186,baseline
340,4.249030590057373,9986597.89291273,42433359.9375887,0.0004688466271617818,baseline
350,4.568657875061035,9986057.600937529,45622880.69933635,0.0004670284664615821,baseline
360,4.264881134033203,9985555.524152718,42587207.36779996,0.00046516292561066665,baseline
370,4.203956127166748,9984997.285490006,41976490.51807906,0.0004632504649033257,baseline
380,4.441790580749512,9984478.270254236,44348961.53451344,0.00046129155621062206,baseline
390,4.234697341918945,9983986.801417928,42279162.369718336,0.0004592866828639639,baseline
400,4.242014408111572,9983420.24810289,42349812.53468527,0.0004572363395358497,baseline
410,4.108870029449463,9982837.660572048,41018182.47238388,0.00045514103211781605,baseline
420,4.182521820068359,9982228.918393366,41750890.26409763,0.00045300127759561535,baseline
430,4.125234127044678,9981622.032628454,41176527.852259964,0.00045081760392165835,baseline
440,4.36529541015625,9981057.593884902,43570264.90309095,0.0004485905498847489,baseline
450,4.3449578285217285,9980515.447947197,43364918.72824022,0.00044632066497714653,baseline
460,4.291554927825928,9979920.60386826,42829377.446842335,0.0004440085092589872,baseline
470,4.199007987976074,9979322.464217542,41903254.74183854,0.0004416546532200969,baseline
480,4.23711633682251,9978808.992194356,42281374.602858074,0.00043925967763923146,baseline
490,4.055484771728516,9978292.24035283,40466812.228607714,0.00043682417344077904,baseline
500,4.299214839935303,9977711.43512637,42896325.070487455,0.0004343487415489571,baseline
510,3.858055830001831,9977164.01178682,38492455.7825586,0.0004318339927395444,baseline
520,4.175442695617676,9976607.840354417,41656754.33404988,0.00042928054748918055,baseline
530,4.011778831481934,9976043.362377916,40021679.58313357,0.00042668903582227327,baseline
540,3.9690136909484863,9975473.869381264,39592792.36127311,0.00042406009715554845,baseline
550,4.494985580444336,9975001.30096077,44837487.012732156,0.00042139438014028477,baseline
560,4.210468292236328,9974506.152724361,41997341.88676209,0.00041869254250226747,baseline
570,4.28732442855835,9973999.160204697,42761770.24996606,0.0004159552508795054,baseline
580,4.060525417327881,9973558.842626644,40497889.18170073,0.0004131831806577476,baseline
590,3.972489833831787,9973055.442887876,39617861.35911286,0.0004103770158038418,baseline
600,4.081516265869141,9972454.152543247,40702733.83423952,0.00040753744869697614,baseline
610,4.188940525054932,9971861.502696441,41771534.758880295,0.00040466517995784487,baseline
620,4.0732011795043945,9971303.307190552,40615124.392044626,0.0004017609182757808,baseline
630,4.076128005981445,9970751.41826995,40642059.096689366,0.0003988253802338965,baseline
640,3.9840943813323975,9970250.485782463,39722418.94088252,0.0003958592901322785,baseline
650,4.018588066101074,9969695.528410304,40064099.47313089,0.0003928633798092766,baseline
660,4.00825309753418,9969180.596488118,39958999.00575114,0.00038983838846093447,baseline
670,3.7269930839538574,9968648.947372904,37153085.68322271,0.0003867850624586033,baseline
680,4.306318283081055,9968014.808508959,42925444.41590483,0.0003837041551647862,baseline
690,3.7350540161132812,9967431.283884954,37228894.24720766,0.0003805964267472574,baseline
