step,loss_V,weight_norm_sq_C,K_est,lr,cond
1,10.360243797302246,10014959.167789087,103757418.59832215,0.0005,batch64
2,9.297311782836914,10014843.604144165,93111123.44407846,0.0004999997224174333,batch64
3,8.520265579223633,10014717.166963208,85328049.96333665,0.0004999988896704182,batch64
4,7.976322174072266,10014582.787733922,79879538.75388452,0.0004999975017610091,batch64
5,7.774487018585205,10014454.685432939,77857247.95010817,0.0004999955586926308,batch64
10,6.540114879608154,10013818.26651856,65491521.846549965,0.0004999775161819445,batch64
20,5.95752477645874,10012796.728817046,59651484.59357257,0.0004998998001107488,batch64
30,5.839058876037598,10011893.914026001,58460038.02464033,0.0004997665933791235,batch64
40,5.63883638381958,10011034.358594768,56450584.78091209,0.0004995779288538368,batch64
50,5.367875099182129,10010172.964505397,53733358.19467467,0.000499333853085037,batch64
60,5.182829856872559,10009287.673087528,51876434.9981045,0.0004990344262947681,batch64
70,5.302445888519287,10008400.384571364,53069001.46982528,0.0004986797223621099,batch64
80,5.18083381652832,10007512.193601213,51847257.591928676,0.0004982698288049504,batch64
90,4.930144786834717,10006607.442882394,49334023.51842811,0.0004978048467583915,batch64
100,4.912952899932861,10005709.768022275,49157580.82069159,0.0004972848909497955,batch64
110,4.799912929534912,10004824.368649796,48022285.84480812,0.0004967100896704777,batch64
120,4.8099470138549805,10003942.333347194,48118432.55306076,0.0004960805847440531,batch64
130,4.895003795623779,10003062.659553258,48965029.68637569,0.0004953965314914427,batch64
140,4.605733871459961,10002204.946332091,46067494.110606074,0.0004946580986925508,batch64
150,4.631998538970947,10001357.970673637,46326275.507885724,0.0004938654685446213,batch64
160,4.698574066162109,10000502.157396847,46988100.085343055,0.0004930188366172827,batch64
170,4.655206680297852,9999678.48468422,46550570.08273268,0.0004921184118042946,batch64
180,4.359159469604492,9998882.248323048,43586722.23823767,0.0004911644162720063,batch64
190,4.546644687652588,9998095.460168289,45457787.61061761,0.0004901570854045406,batch64
200,4.471996784210205,9997328.105605988,44708019.13896428,0.0004890966677457158,batch64
210,4.364802360534668,9996576.837508742,43633082.177624345,0.0004879834249377221,batch64
220,4.391843795776367,9995834.525550615,43900143.84464668,0.0004868176316565643,batch64
230,4.467571258544922,9995092.612057343,44653788.480122074,0.00048559957554429053,batch64
240,4.360607147216797,9994359.412229272,43581475.08482043,0.0004843295571380203,batch64
250,4.3415913581848145,9993623.293796169,43388228.52929991,0.00048300788979579166,batch64
260,4.249380111694336,9992899.654902443,42463629.05169964,0.00048163489961924465,batch64
270,4.273779392242432,9992187.154173447,42704403.54293603,0.00048021092537316114,batch64
280,4.190263748168945,9991505.087923944,41867041.55957327,0.00047873631840187876,batch64
290,4.316137790679932,9990813.999090856,43121729.86113014,0.00047721144254260267,batch64
300,4.021890640258789,9990122.82230724,40179181.47407321,0.0004756366740356339,batch64
310,4.28296422958374,9989438.62554526,42784408.30683251,0.0004740124014315379,batch64
320,4.338217735290527,9988759.735896425,43333414.6398218,0.0004723390254952751,batch64
330,4.184055805206299,9988081.971731834,41790692.35670096,0.0004706169591073186,batch64
340,4.165956974029541,9987425.70603299,41607185.77265005,0.0004688466271617818,batch64
350,4.122874736785889,9986742.034716818,41174086.437731676,0.0004670284664615821,batch64
360,4.057409286499023,9986067.994544603,40517565.01667595,0.00046516292561066665,batch64
370,4.162768840789795,9985418.551467266,41566989.208292305,0.0004632504649033257,batch64
380,4.162769317626953,9984731.111462442,41564132.31555112,0.00046129155621062206,batch64
390,4.022136688232422,9984017.409440326,40157082.718461156,0.0004592866828639639,batch64
400,4.013531684875488,9983335.144164883,40068431.921836756,0.0004572363395358497,batch64
410,3.990751266479492,9982653.048162147,39838285.29477845,0.00045514103211781605,batch64
420,4.009097099304199,9981982.43201612,40018736.8135013,0.00045300127759561535,batch64
430,3.9693057537078857,9981310.698145708,39618873.983695835,0.00045081760392165835,batch64
440,4.112460136413574,9980660.398868343,41045068.02542766,0.0004485905498847489,batch64
450,3.9345486164093018,9979996.113835037,39266779.90145985,0.00044632066497714653,batch64
460,3.9529242515563965,9979308.341230314,39447449.95580834,0.0004440085092589872,batch64
470,3.899780035018921,9978637.911002573,38914492.90201075,0.0004416546532200969,batch64
480,3.8115336894989014,9978001.689664215,38031489.594032116,0.00043925967763923146,batch64
490,3.8423190116882324,9977370.711243091,38336241.17047067,0.00043682417344077904,batch64
500,3.8334155082702637,9976740.230038526,38244990.71981352,0.0004343487415489571,batch64
510,3.9141578674316406,9976108.827979049,39048064.85538844,0.0004318339927395444,batch64
520,3.8037497997283936,9975490.700246839,37944270.753256366,0.00042928054748918055,batch64
530,3.706496000289917,9974878.836186064,36971848.50970019,0.00042668903582227327,batch64
540,3.839306116104126,9974227.031877778,38294110.84689946,0.00042406009715554845,batch64
550,3.7992968559265137,9973579.612024168,37892589.6622962,0.00042139438014028477,batch64
560,3.7326102256774902,9972964.572196826,37225189.54250121,0.00041869254250226747,batch64
570,3.6557202339172363,9972354.3147552,36456137.44824244,0.0004159552508795054,batch64
580,3.9224369525909424,9971696.984146776,39113352.73065697,0.0004131831806577476,batch64
590,3.757549285888672,9971059.678332672,37466748.17387226,0.0004103770158038418,batch64
600,3.692301034927368,9970409.41290924,36813752.993934356,0.00040753744869697614,batch64
610,3.743046998977661,9969803.037159672,37317441.33863888,0.00040466517995784487,batch64
620,3.8549134731292725,9969193.114577938,38430376.85361407,0.0004017609182757808,batch64
630,3.871645927429199,9968616.216523312,38594952.37680715,0.0003988253802338965,batch64
640,3.768296718597412,9968050.202184215,37562570.86770505,0.0003958592901322785,batch64
650,3.728101968765259,9967416.368303942,37159544.58617699,0.0003928633798092766,batch64
660,3.775336503982544,9966801.96239588,37628031.27659802,0.00038983838846093447,batch64
670,3.7496232986450195,9966229.08617247,37369604.78114596,0.0003867850624586033,batch64
680,3.7223596572875977,9965619.360713676,37095619.468204804,0.0003837041551647862,batch64
690,3.9445266723632812,9964982.082592677,39307137.614409015,0.0003805964267472574,batch64
700,3.5096049308776855,9964370.318915214,34971003.20435609,0.00037746264399150206,batch64
710,3.69097900390625,9963724.674526189,36775898.574378796,0.0003743035801115231,batch64
720,3.7972571849823,9963111.560305364,37832496.95714976,0.00037112001455906306,batch64
730,3.783698797225952,9962536.755726248,37695238.33996075,0.0003679127328312853,batch64
740,3.781694173812866,9961934.187932035,37672988.47840978,0.0003646825262769644,batch64
750,3.579754590988159,9961343.971904824,35659166.815838516,0.0003614301919012331,batch64
760,3.6211719512939453,9960773.22156261,36069672.60312235,0.00035815653216893294,batch64
770,3.411883592605591,9960209.551772654,33983075.548606604,0.00035486235480661796,batch64
780,3.6534488201141357,9959654.920017462,36387089.51628175,0.0003515484726032605,batch64
790,3.6828293800354004,9959077.492021475,36677583.18566596,0.00034821570320970756,batch64
800,3.581657648086548,9958520.066770747,35668009.56077281,0.0003448648689369378,batch64
810,3.6851871013641357,9957953.050352717,36696920.13714948,0.00034149679655316826,batch64
820,3.4832489490509033,9957364.597102895,34683979.768175334,0.00033811231707986215,batch64
830,3.62579607963562,9956800.36240018,36101327.71970509,0.00033471226558668646,batch64
840,3.5762407779693604,9956241.693517478,35605917.53967593,0.00033129748098547105,batch64
850,3.820970296859741,9955697.102369918,38040422.91268805,0.0003278688058232198,batch64
860,3.487635374069214,9955128.679829737,34719858.937185146,0.0003244270860742246,batch64
870,3.4690802097320557,9954586.945133705,34533260.567420416,0.0003209731709313339,batch64
880,3.5686254501342773,9954067.503026694,35522338.62365562,0.0003175079125964273,batch64
890,3.582451343536377,9953541.123809956,35658076.77193756,0.000314032166070147,batch64
900,3.561493158340454,9953055.684620645,35447739.725357994,0.00031054678894093974,batch64
910,3.7641119956970215,9952525.382938053,37462420.181396216,0.00030705264117345936,batch64
920,3.7231063842773438,9951995.565828381,37052338.22743546,0.00030355058489638337,batch64
