step,loss_V,weight_norm_sq_C,K_est,lr,cond
1,10.364158630371094,10007161.016003063,103715804.20952131,0.0005,heated
2,9.320003509521484,10006149.402796576,93257347.55086039,0.0004999997224174333,heated
3,8.617528915405273,10005133.979414005,86219531.37010401,0.0004999988896704182,heated
4,8.058948516845703,10004117.346493145,80622666.65187131,0.0004999975017610091,heated
5,7.690146446228027,10003100.031405222,76925304.15777433,0.0004999955586926308,heated
10,6.547796726226807,9998051.594459334,65465209.49884754,0.0004999775161819445,heated
20,6.333065509796143,9988194.30616628,63255888.86552388,0.0004998998001107488,heated
30,5.758864879608154,9978477.595993785,57464704.17952541,0.0004997665933791235,heated
40,5.830867767333984,9968778.103244917,58126626.921915606,0.0004995779288538368,heated
50,5.637241363525391,9959067.713181412,56141668.45489647,0.000499333853085037,heated
60,5.608478546142578,9949385.011769932,55800912.38582418,0.0004990344262947681,heated
70,5.4655961990356445,9939695.673402041,54326362.89211724,0.0004986797223621099,heated
80,5.4710373878479,9930055.254313316,54327703.55974364,0.0004982698288049504,heated
90,5.2500529289245605,9920442.41381463,52082847.75087494,0.0004978048467583915,heated
100,5.116179943084717,9910832.033943145,50705600.071341425,0.0004972848909497955,heated
110,5.38636589050293,9901261.391882561,53331816.63418979,0.0004967100896704777,heated
120,5.057945728302002,9891735.428861013,50031860.95790113,0.0004960805847440531,heated
130,4.7917866706848145,9882183.03203591,47353312.930177316,0.0004953965314914427,heated
140,5.341606140136719,9872673.47378647,52735933.24714272,0.0004946580986925508,heated
150,4.9884772300720215,9863216.786683435,49202432.35563444,0.0004938654685446213,heated
160,4.71274471282959,9853807.271816526,46438478.1214951,0.0004930188366172827,heated
170,4.860599040985107,9844448.174961865,47849915.358247235,0.0004921184118042946,heated
180,4.909642696380615,9835153.38911484,48287089.00465073,0.0004911644162720063,heated
190,4.576381206512451,9825880.50744166,44966974.89169304,0.0004901570854045406,heated
200,4.605781078338623,9816647.162699444,45213327.75468763,0.0004890966677457158,heated
210,4.594783306121826,9807461.428928059,45063160.049072355,0.0004879834249377221,heated
220,4.6663947105407715,9798268.878149724,45722590.06545413,0.0004868176316565643,heated
230,4.8687615394592285,9789161.312859897,47661092.10361447,0.00048559957554429053,heated
240,4.769026756286621,9780105.34100526,46641584.05055577,0.0004843295571380203,heated
250,4.75276517868042,9771117.775802832,46439828.32162097,0.00048300788979579166,heated
260,4.618485450744629,9762146.163908983,45086330.026056126,0.00048163489961924465,heated
270,4.7367262840271,9753204.364014518,46198259.46451538,0.00048021092537316114,heated
280,4.73745059967041,9744277.720242765,46163034.3291191,0.00047873631840187876,heated
290,4.9381184577941895,9735408.795843596,48074601.868927166,0.00047721144254260267,heated
300,4.325384140014648,9726560.941909341,42071112.4350206,0.0004756366740356339,heated
310,4.521259307861328,9717762.886991186,43936525.90439827,0.0004740124014315379,heated
320,4.715664863586426,9708961.970152168,45784210.82454342,0.0004723390254952751,heated
330,4.60992431640625,9700247.126834573,44717405.10514456,0.0004706169591073186,heated
340,4.702654838562012,9691619.646053134,45576342.02201442,0.0004688466271617818,heated
350,4.450650691986084,9683015.449865382,43095719.412455305,0.0004670284664615821,heated
360,4.475411415100098,9674407.407424297,43296953.34551564,0.00046516292561066665,heated
370,4.444155216217041,9665811.813183794,42956367.98853305,0.0004632504649033257,heated
380,4.28278112411499,9657292.399976006,41360069.60067639,0.00046129155621062206,heated
390,4.1229248046875,9648830.147697229,39781401.152157456,0.0004592866828639639,heated
400,4.440914154052734,9640388.383218937,42812137.22160253,0.0004572363395358497,heated
410,4.3016767501831055,9631995.363130435,41433730.51144967,0.00045514103211781605,heated
420,4.3393049240112305,9623630.473051623,41759867.09857743,0.00045300127759561535,heated
430,4.332141876220703,9615338.47698082,41655010.470164806,0.00045081760392165835,heated
440,4.130991458892822,9607119.309751524,39686927.81314785,0.0004485905498847489,heated
450,4.067509174346924,9598941.276905462,39043781.70783034,0.00044632066497714653,heated
460,4.257318496704102,9590765.847003965,40830944.83800796,0.0004440085092589872,heated
470,4.022427082061768,9582639.092581362,38545467.00362307,0.0004416546532200969,heated
480,4.211833477020264,9574520.532287149,40326286.10430489,0.00043925967763923146,heated
490,4.265265941619873,9566433.861815302,40803384.53355988,0.00043682417344077904,heated
500,4.359594821929932,9558358.020200036,41670568.131016515,0.0004343487415489571,heated
510,4.143545150756836,9550383.176538097,39572443.8990141,0.0004318339927395444,heated
520,4.198148250579834,9542468.663646655,40060698.12650109,0.00042928054748918055,heated
530,3.869213819503784,9534614.836974263,36891463.49086664,0.00042668903582227327,heated
540,4.134890556335449,9526741.732072236,39392034.42059231,0.00042406009715554845,heated
550,4.110229015350342,9518984.207807112,39125205.08759048,0.00042139438014028477,heated
560,4.24838924407959,9511315.118594121,40407768.84688685,0.00041869254250226747,heated
570,4.192736625671387,9503769.599286048,39846802.88086889,0.0004159552508795054,heated
580,3.9741439819335938,9496272.874153199,37739555.69361517,0.0004131831806577476,heated
590,4.228590488433838,9488768.813647447,40124117.55233723,0.0004103770158038418,heated
600,4.214364528656006,9481292.629723359,39957623.344513744,0.00040753744869697614,heated
610,4.232059478759766,9473886.770569554,40094052.30808563,0.00040466517995784487,heated
620,4.16868257522583,9466527.691152979,39462949.03400223,0.0004017609182757808,heated
630,3.92514705657959,9459200.213475503,37128751.8755204,0.0003988253802338965,heated
640,4.133667945861816,9451896.494969266,39071001.56885811,0.0003958592901322785,heated
650,4.033500671386719,9444626.182673892,38094906.048811726,0.0003928633798092766,heated
660,4.038387775421143,9437461.06994033,38112127.41585997,0.00038983838846093447,heated
670,3.984212636947632,9430372.537412167,37572609.43468146,0.0003867850624586033,heated
680,4.249424934387207,9423325.919214187,40043716.12596601,0.0003837041551647862,heated
690,4.401835918426514,9416398.526665816,41449441.25689609,0.0003805964267472574,heated
700,3.960608720779419,9409479.73755686,37267267.50656494,0.00037746264399150206,heated
710,3.928889513015747,9402686.328984391,36942115.712123305,0.0003743035801115231,heated
720,3.957219362258911,9395906.39355718,37181662.70655677,0.00037112001455906306,heated
730,4.019073963165283,9389063.883759655,37735342.19371394,0.0003679127328312853,heated
740,3.837089776992798,9382383.973791104,36001049.62965491,0.0003646825262769644,heated
750,4.100779056549072,9375787.516646829,38448033.08691955,0.0003614301919012331,heated
760,4.019348621368408,9369154.546814548,37657898.411126606,0.00035815653216893294,heated
770,3.915393829345703,9362644.68413329,36658441.22261183,0.00035486235480661796,heated
780,4.157552719116211,9356240.568701815,38899063.417111635,0.0003515484726032605,heated
790,4.1465373039245605,9349895.314409705,38769689.7089893,0.00034821570320970756,heated
800,3.903747081756592,9343599.201227874,36475048.114896536,0.0003448648689369378,heated
810,3.7624764442443848,9337353.925949445,35131574.19795761,0.00034149679655316826,heated
820,3.818296194076538,9331198.273506707,35629278.85390422,0.00033811231707986215,heated
830,4.036691665649414,9325104.735452788,37642572.566910155,0.00033471226558668646,heated
840,3.8400301933288574,9319074.867084123,35785528.86349514,0.00033129748098547105,heated
850,3.724543571472168,9313128.514608951,34687152.93938091,0.0003278688058232198,heated
860,3.8694422245025635,9307279.217292456,36013979.1986266,0.0003244270860742246,heated
870,3.7647268772125244,9301511.639719557,35017650.86875735,0.0003209731709313339,heated
880,3.790365695953369,9295763.490263551,35234343.05119073,0.0003175079125964273,heated
890,3.828374147415161,9290066.58770992,35565850.752154045,0.000314032166070147,heated
900,3.7744905948638916,9284469.117916292,35044141.36387929,0.00031054678894093974,heated
910,3.889352560043335,9278968.348810062,36089179.30200549,0.00030705264117345936,heated
920,3.5572710037231445,9273466.146448575,32988232.226769723,0.00030355058489638337,heated
930,3.9542694091796875,9268003.726826904,36648183.621154964,0.0003000414841896958,heated
940,3.5306222438812256,9262602.689962516,32702751.093415733,0.0002965262048714882,heated
950,3.8013811111450195,9257270.592749273,35190413.57203535,0.00029300561428433205,heated
960,3.693549394607544,9251967.352268904,34172598.41290157,0.00028948058108127495,heated
970,3.6162209510803223,9246700.215266453,33438111.046805475,0.00028595197501151375,heated
980,3.7654964923858643,9241601.299492013,34799217.27726582,0.0002824206667057963,heated
990,3.8991284370422363,9236593.97773441,36014666.2399973,0.00027888752746160707,heated
1000,3.7216622829437256,9231655.719155995,34357104.8991046,0.000275353429028187,heated
1010,3.8738698959350586,9226736.533745598,35743176.89580126,0.00027181924339144266,heated
1020,3.9504053592681885,9221951.318462789,36430445.91136574,0.00026828584255879676,heated
1030,3.8682703971862793,9217214.693368444,35654678.74286756,0.00026475409834403357,heated
1040,3.532136917114258,9212449.995497448,32539634.726165615,0.0002612248821521911,heated
1050,3.7803452014923096,9207731.55446275,34808403.79854258,0.00025769906476455615,heated
1060,3.6519598960876465,9203134.632911013,33609478.59768633,0.000254177516123811,heated
1070,3.6851646900177,9198564.260526417,33898224.21175073,0.0002506611051193889,heated
1080,3.739335060119629,9194034.786303606,34379576.62038455,0.0002471506993730878,heated
1090,3.7660906314849854,9189559.125174217,34608712.52879597,0.0002436471650249984,heated
1100,3.6799302101135254,9185210.847809818,33800934.885117814,0.00024015136651979653,heated
1110,3.7807958126068115,9180906.932481281,34711134.486258075,0.0002366641663934546,heated
1120,3.621711254119873,9176633.100874703,33235115.37636686,0.0002331864250604237,heated
1130,3.9207496643066406,9172454.15125095,35962896.53438521,0.00022971900060133916,heated
1140,3.77484393119812,9168369.209892398,34609162.87094602,0.00022626274855130218,heated
1150,3.7157113552093506,9164318.846321046,34051963.60003417,0.00022281852168878902,heated
1160,3.826521396636963,9160250.16610904,35051893.259163536,0.00021938716982524082,heated
1170,3.8489603996276855,9156330.315561756,35242352.79050767,0.00021596953959538567,heated
1180,3.522252321243286,9152497.017679708,32237403.865694605,0.0002125664742483437,heated
1190,3.7963626384735107,9148692.426171571,34731754.11760333,0.0002091788134395679,heated
1200,3.618250846862793,9144853.803235639,33088375.01799378,0.00020580739302367235,heated
1210,3.6941463947296143,9141172.289547483,33768828.657034084,0.00020245304484819705,heated
1220,3.6048641204833984,9137572.273921046,32939706.43858188,0.0001991165965483621,heated
