step,loss_V,weight_norm_sq_C,K_est,lr,cond
1,10.42048168182373,10020464.994815525,104418071.9218311,0.0005,seed1
2,9.499545097351074,10020358.938561868,95188851.62851341,0.0004999997224174333,seed1
3,8.770720481872559,10020252.072998645,87884830.09017518,0.0004999988896704182,seed1
4,8.206781387329102,10020140.77369596,82233104.79998544,0.0004999975017610091,seed1
5,7.8432745933532715,10020027.589101376,78589827.81429766,0.0004999955586926308,seed1
10,6.5768656730651855,10019489.35116521,65896835.575320646,0.0004999775161819445,seed1
20,5.905309200286865,10018634.428734874,59163134.066318795,0.0004998998001107488,seed1
30,5.822915554046631,10017898.592771418,58333377.53471055,0.0004997665933791235,seed1
40,5.913785457611084,10017155.052478785,59239305.87598443,0.0004995779288538368,seed1
50,5.633404731750488,10016387.533970546,56426364.928916276,0.000499333853085037,seed1
60,6.081059455871582,10015625.085775258,60905611.634318255,0.0004990344262947681,seed1
70,5.451469898223877,10014872.217624243,54595774.42893717,0.0004986797223621099,seed1
80,5.281786918640137,10014135.769662812,52892531.30969132,0.0004982698288049504,seed1
90,5.221980571746826,10013389.937739333,52289727.712199956,0.0004978048467583915,seed1
100,5.408332824707031,10012661.130739085,54151803.85604441,0.0004972848909497955,seed1
110,4.832551002502441,10011963.902415816,48383326.1936378,0.0004967100896704777,seed1
120,5.134029865264893,10011238.18011537,51397995.80499246,0.0004960805847440531,seed1
130,4.950992584228516,10010536.31876278,49562091.07834475,0.0004953965314914427,seed1
140,5.014066696166992,10009839.104217282,50190000.88644591,0.0004946580986925508,seed1
150,4.994992256164551,10009170.060037773,49995726.940522745,0.0004938654685446213,seed1
160,4.93322229385376,10008506.086602988,49374185.35460091,0.0004930188366172827,seed1
170,4.897010803222656,10007836.26931341,49008482.32771129,0.0004921184118042946,seed1
180,4.753396987915039,10007190.296179615,47568148.21135279,0.0004911644162720063,seed1
190,4.921901226043701,10006598.70740257,49251490.446492024,0.0004901570854045406,seed1
200,4.795175552368164,10006011.690959815,47980582.637200534,0.0004890966677457158,seed1
210,4.443803310394287,10005431.223045822,44462168.390893385,0.0004879834249377221,seed1
220,4.830412864685059,10004837.159485264,48327494.12425674,0.0004868176316565643,seed1
230,4.432168006896973,10004263.003153471,44340574.415159844,0.00048559957554429053,seed1
240,4.7205963134765625,10003686.968136348,47223367.82295798,0.0004843295571380203,seed1
250,4.770923614501953,10003153.085713092,47724279.27610667,0.00048300788979579166,seed1
260,4.591061592102051,10002629.448297014,45922687.88010535,0.00048163489961924465,seed1
270,4.223948001861572,10002118.542142944,42248428.63046727,0.00048021092537316114,seed1
280,4.535196781158447,10001606.662535392,45359254.34234339,0.00047873631840187876,seed1
290,4.448366641998291,10001103.501667902,44488575.19999179,0.00047721144254260267,seed1
300,4.369351387023926,10000594.0349728,43696109.4177716,0.0004756366740356339,seed1
310,4.783926010131836,10000077.857063148,47839632.56374782,0.0004740124014315379,seed1
320,4.503633975982666,9999604.004275097,45034556.34002564,0.0004723390254952751,seed1
330,4.451199531555176,9999101.070893101,44507994.00273223,0.0004706169591073186,seed1
340,4.515040397644043,9998601.181228524,45144088.25317823,0.0004688466271617818,seed1
350,4.258883953094482,9998121.816630226,42580840.56593032,0.0004670284664615821,seed1
360,4.336212158203125,9997576.819831211,43351614.158721834,0.00046516292561066665,seed1
370,4.5520548820495605,9997076.066118198,45507238.912994154,0.0004632504649033257,seed1
380,4.3100905418396,9996546.310323691,43086019.70318769,0.00046129155621062206,seed1
390,4.327059268951416,9996040.455487743,43253459.505731575,0.0004592866828639639,seed1
400,4.172639846801758,9995509.112794338,41707659.61311574,0.0004572363395358497,seed1
410,4.290892124176025,9994972.326558182,42887348.03738583,0.00045514103211781605,seed1
420,4.150121688842773,9994448.271489961,41478176.539527655,0.00045300127759561535,seed1
430,4.305474281311035,9993849.30475395,43028261.1529163,0.00045081760392165835,seed1
440,4.2544965744018555,9993299.399593282,42516458.06254174,0.0004485905498847489,seed1
450,4.68215274810791,9992751.936807698,46787590.942084804,0.00044632066497714653,seed1
460,4.057314395904541,9992136.520225564,40541239.349354684,0.0004440085092589872,seed1
470,4.489866733551025,9991515.377303347,44860572.51031782,0.0004416546532200969,seed1
480,4.352357864379883,9990892.752576657,43483940.64385299,0.00043925967763923146,seed1
490,4.037599086761475,9990341.922503723,40336995.42273591,0.00043682417344077904,seed1
500,4.294183731079102,9989759.105770893,42897861.029400684,0.0004343487415489571,seed1
