step,V_train,C,K_est,acc_train,acc_test,sigma_mean,crisis
1,4.142666339874268,1.9543554782867432,8.096242656047366,0.023706896230578423,0.014839636161923409,0.0,0.0
2,4.136188507080078,1.9518972635269165,8.073415028401087,0.02298850566148758,0.01771182380616665,0.0,0.0
3,4.129133224487305,1.9492695331573486,8.048793592840866,0.020114943385124207,0.01627572998404503,0.0,0.0
4,4.12896203994751,1.946702003479004,8.037858675454572,0.019396550953388214,0.017233125865459442,0.0,0.0
5,4.162713050842285,1.9441994428634644,8.093144394248043,0.01508620660752058,0.018669219687581062,0.0,0.0
6,4.120171070098877,1.9416694641113281,8.000010353725884,0.01508620660752058,0.018190521746873856,0.0,0.0
7,4.125189304351807,1.9391789436340332,7.999480237503349,0.019396550953388214,0.017233125865459442,0.0,0.0
8,4.130059719085693,1.9367374181747437,7.998841197249533,0.02083333395421505,0.01627572998404503,0.0,0.0
9,4.110361576080322,1.9343067407608032,7.9507001035763665,0.019396550953388214,0.014839636161923409,0.0,0.0
10,4.103249549865723,1.9319612979888916,7.927319326330917,0.019396550953388214,0.015797032043337822,0.0,0.0
11,4.138730049133301,1.9296956062316895,7.986489191191595,0.020114943385124207,0.017233125865459442,0.0,0.0
12,4.106104850769043,1.9274003505706787,7.914107928852218,0.021551724523305893,0.018190521746873856,0.0,0.0
13,4.103274345397949,1.925153136253357,7.899431474950802,0.017959769815206528,0.019626615568995476,0.0,0.0
14,4.113574981689453,1.9229583740234375,7.9102334582130425,0.015804598107933998,0.017233125865459442,0.0,0.0
15,4.0931396484375,1.9207968711853027,7.86208983004326,0.01867816038429737,0.01771182380616665,0.0,0.0
16,4.091464996337891,1.9187228679656982,7.8503874519547026,0.020114943385124207,0.015797032043337822,0.0,0.0
17,4.101184844970703,1.9167207479476929,7.860826083523989,0.02298850566148758,0.015318334102630615,0.0,0.0
18,4.10189962387085,1.914759635925293,7.854151830405044,0.02298850566148758,0.015318334102630615,0.0,0.0
19,4.09270715713501,1.912833333015442,7.828666672438715,0.023706896230578423,0.012446146458387375,0.0,0.0
20,4.080983638763428,1.9109641313552856,7.7986133543246865,0.022270115092396736,0.014360938221216202,0.0,0.0
100,4.077954292297363,1.8458783626556396,7.527407592050395,0.020114943385124207,0.014839636161923409,0.0,0.0
200,4.071337699890137,1.8086082935333252,7.363455129796193,0.029454022645950317,0.012924844399094582,0.0,0.0
300,4.061834812164307,1.7569844722747803,7.136580693917836,0.030890803784132004,0.007659167051315308,0.0,0.0
400,4.011479377746582,1.6682517528533936,6.692157503460976,0.03376436606049538,0.006701771169900894,0.0,0.0
500,3.864487886428833,1.5302428007125854,5.913604766648717,0.05316092073917389,0.0043082814663648605,0.0,0.0
600,3.4122889041900635,1.2908480167388916,4.404746364513869,0.15014368295669556,0.0028721876442432404,0.0,0.0
700,2.46661114692688,1.0325483083724976,2.546895167172096,0.44109195470809937,0.0023934897035360336,0.0,0.0
800,1.2307968139648438,0.8246328830718994,1.0149555251755373,0.8326149582862854,0.001914791762828827,0.0,0.0
900,0.3588520884513855,0.6885818243026733,0.24709902572067932,0.9920976758003235,0.0028721876442432404,0.0,0.0
1000,0.12293779104948044,0.6163344383239746,0.07577079439527168,1.0,0.0014360938221216202,0.0,0.0
1100,0.04364446550607681,0.5792158246040344,0.025279565077504618,1.0,0.0023934897035360336,0.0,0.0
1200,0.023495906963944435,0.5570092797279358,0.01308743821454128,1.0,0.0023934897035360336,0.0,0.0
1300,0.017262760549783707,0.5416698455810547,0.009350716841304063,1.0,0.0023934897035360336,0.0,0.0
1400,0.013183698058128357,0.5304851531982422,0.0069937560840855895,1.0,0.0023934897035360336,0.0,0.0
1500,0.00911650899797678,0.5211665034294128,0.0047512191179583385,1.0,0.001914791762828827,0.0,0.0
1600,0.007380791939795017,0.5137932300567627,0.003792200931124201,1.0,0.001914791762828827,0.0,0.0
1700,0.00520200002938509,0.5074449777603149,0.0026397287892204746,1.0,0.001914791762828827,0.0,0.0
1800,0.004876025021076202,0.5020471215248108,0.0024479943263142623,1.0,0.001914791762828827,0.0,0.0
1900,0.003725336166098714,0.49709606170654297,0.0018518499367006225,1.0,0.001914791762828827,0.0,0.0
2000,0.0033987245988100767,0.49280232191085815,0.0016748993738291557,1.0,0.001914791762828827,0.0,0.0
2100,0.002645663684234023,0.488956481218338,0.001293614405530212,1.0,0.001914791762828827,0.0,0.0
2200,0.002845349023118615,0.4854882061481476,0.0013813833930992406,1.0,0.001914791762828827,0.0,0.0
2300,0.0021628381218761206,0.48229923844337463,0.0010431351790571516,1.0,0.001914791762828827,0.0,0.0
2400,0.0013631648616865277,0.47924649715423584,0.0006532919850070068,1.0,0.0014360938221216202,0.0,0.0
2500,0.0019012439297512174,0.4762430191040039,0.0009054541491578805,1.0,0.0014360938221216202,0.0,0.0
2600,0.0015237538609653711,0.47342053055763245,0.0007213763612974669,1.0,0.0014360938221216202,0.0,0.0
2700,0.0015179335605353117,0.47098004817962646,0.000714916421474393,1.0,0.001914791762828827,0.0,0.0
2800,0.0012097437866032124,0.46850472688674927,0.0005667706823454799,1.0,0.001914791762828827,0.0,0.0
2900,0.0010247714817523956,0.46624499559402466,0.0004777945749945278,1.0,0.0014360938221216202,0.0,0.0
3000,0.0008672674302943051,0.46401670575141907,0.0004024265760106619,1.0,0.0023934897035360336,0.0,0.0
3100,0.0009039765573106706,0.4619813561439514,0.00041762031586872403,1.0,0.0023934897035360336,0.0,0.0
3200,0.0007702646544203162,0.45995843410491943,0.00035428972429353556,1.0,0.0023934897035360336,0.0,0.0
3300,0.0005310120177455246,0.45806410908699036,0.00024323754682308886,1.0,0.001914791762828827,0.0,0.0
3400,0.0005470599280670285,0.45617741346359253,0.00024955638299519606,1.0,0.0009573958814144135,0.0,0.0
3500,0.00039641166222281754,0.45440927147865295,0.00018013313463631237,1.0,0.0014360938221216202,0.0,0.0
3600,0.0010399657767266035,0.45270979404449463,0.00047080269259522356,1.0,0.001914791762828827,0.0,0.0
3700,0.000719004834536463,0.45103541016578674,0.00032429664045633723,1.0,0.001914791762828827,0.0,0.0
3800,0.00037227116990834475,0.44941091537475586,0.00016730272723614048,1.0,0.001914791762828827,0.0,0.0
3900,0.0003748477320186794,0.4477386176586151,0.0001678338053665105,1.0,0.001914791762828827,0.0,0.0
4000,0.00029973502387292683,0.44621363282203674,0.0001337458538863386,1.0,0.0014360938221216202,0.0,0.0
4100,0.00029742412152700126,0.4447648823261261,0.00013228380441190814,1.0,0.001914791762828827,0.0,0.0
4200,0.0002901636762544513,0.44330695271492004,0.0001286315751089194,1.0,0.001914791762828827,0.0,0.0
4300,0.0005412506288848817,0.4419066309928894,0.00023918224193330076,1.0,0.0014360938221216202,0.0,0.0
4400,0.00022502669889945537,0.4404749572277069,9.911862557282968e-05,1.0,0.0023934897035360336,0.0,0.0
4500,0.00016804465849418193,0.43912285566329956,7.379225031692912e-05,1.0,0.001914791762828827,0.0,0.0
4600,0.0002383097744314,0.437824547290802,0.00010433786910540085,1.0,0.001914791762828827,0.0,0.0
4700,0.00017726483929436654,0.43646910786628723,7.737062626287294e-05,1.0,0.001914791762828827,0.0,0.0
4800,0.00021178973838686943,0.435220867395401,9.217531364617837e-05,1.0,0.0009573958814144135,0.0,0.0
4900,0.0001665230083744973,0.43397170305252075,7.226627354170977e-05,1.0,0.0009573958814144135,0.0,0.0
5000,0.00022522395011037588,0.4326755106449127,9.744888762347123e-05,1.0,0.001914791762828827,0.0,0.0
5100,0.0001231814967468381,0.4315434992313385,5.315817414668425e-05,1.0,0.001914791762828827,0.0,0.0
5200,0.00015021246508695185,0.43026939034461975,6.463182577512525e-05,1.0,0.001914791762828827,0.0,0.0
5300,0.00012559304013848305,0.4290838837623596,5.3889949436142226e-05,1.0,0.0009573958814144135,0.0,0.0
5400,0.00023542802955489606,0.42794084548950195,0.00010074927001964967,1.0,0.0004786979407072067,0.0,0.0
5500,9.283301187679172e-05,0.42694091796875,3.9634211308481326e-05,1.0,0.0014360938221216202,0.0,0.0
