step,V_train,C,K_est,acc_train,acc_test,sigma_mean,crisis
1,4.142666339874268,1.9543554782867432,8.096242656047366,0.023706896230578423,0.014839636161923409,0.0,0.0
2,4.136188507080078,1.9518972635269165,8.073415028401087,0.02298850566148758,0.01771182380616665,0.0,0.0
3,4.129133224487305,1.9492695331573486,8.048793592840866,0.020114943385124207,0.01627572998404503,0.0,0.0
4,4.12896203994751,1.946702003479004,8.037858675454572,0.019396550953388214,0.017233125865459442,0.0,0.0
5,4.162713050842285,1.9441994428634644,8.093144394248043,0.01508620660752058,0.018669219687581062,0.0,0.0
6,4.120171070098877,1.9416694641113281,8.000010353725884,0.01508620660752058,0.018190521746873856,0.0,0.0
7,4.125189304351807,1.9391789436340332,7.999480237503349,0.019396550953388214,0.017233125865459442,0.0,0.0
8,4.130059719085693,1.9367374181747437,7.998841197249533,0.02083333395421505,0.01627572998404503,0.0,0.0
9,4.110361576080322,1.9343067407608032,7.9507001035763665,0.019396550953388214,0.014839636161923409,0.0,0.0
10,4.103249549865723,1.9319612979888916,7.927319326330917,0.019396550953388214,0.015797032043337822,0.0,0.0
11,4.138730049133301,1.9296956062316895,7.986489191191595,0.020114943385124207,0.017233125865459442,0.0,0.0
12,4.106104850769043,1.9274003505706787,7.914107928852218,0.021551724523305893,0.018190521746873856,0.0,0.0
13,4.103274345397949,1.925153136253357,7.899431474950802,0.017959769815206528,0.019626615568995476,0.0,0.0
14,4.113574981689453,1.9229583740234375,7.9102334582130425,0.015804598107933998,0.017233125865459442,0.0,0.0
15,4.0931396484375,1.9207968711853027,7.86208983004326,0.01867816038429737,0.01771182380616665,0.0,0.0
16,4.091464996337891,1.9187228679656982,7.8503874519547026,0.020114943385124207,0.015797032043337822,0.0,0.0
17,4.101184844970703,1.9167207479476929,7.860826083523989,0.02298850566148758,0.015318334102630615,0.0,0.0
18,4.10189962387085,1.914759635925293,7.854151830405044,0.02298850566148758,0.015318334102630615,0.0,0.0
19,4.09270715713501,1.912833333015442,7.828666672438715,0.023706896230578423,0.012446146458387375,0.0,0.0
20,4.080983638763428,1.9109641313552856,7.7986133543246865,0.022270115092396736,0.014360938221216202,0.0,0.0
100,4.077954292297363,1.8458783626556396,7.527407592050395,0.020114943385124207,0.014839636161923409,0.0,0.0
200,4.071337699890137,1.8086082935333252,7.363455129796193,0.029454022645950317,0.012924844399094582,0.0,0.0
300,4.061834812164307,1.7569844722747803,7.136580693917836,0.030890803784132004,0.007659167051315308,0.0,0.0
400,4.011479377746582,1.6682517528533936,6.692157503460976,0.03376436606049538,0.006701771169900894,0.0,0.0
500,3.864487886428833,1.5302428007125854,5.913604766648717,0.05316092073917389,0.0043082814663648605,0.0,0.0
600,3.4122889041900635,1.2908480167388916,4.404746364513869,0.15014368295669556,0.0028721876442432404,0.0,0.0
700,2.6191349029541016,1.0579373836517334,2.770880726662199,0.39942529797554016,0.001914791762828827,-0.16606032848358154,1.0
800,1.9322580099105835,1.186387300491333,2.2924063642305725,0.6350574493408203,0.003350885584950447,-0.2528127431869507,1.0
900,1.9704512357711792,2.580371856689453,5.084496913762905,0.795976996421814,0.003350885584950447,0.0,0.0
1000,0.8830682039260864,1.2567765712738037,1.109819429531143,0.9001436829566956,0.0023934897035360336,-0.38879984617233276,1.0
1100,0.6024593710899353,1.3150529861450195,0.7922659949828699,0.9683908224105835,0.0028721876442432404,-0.42458394169807434,1.0
1200,0.40367990732192993,1.3521066904067993,0.5458183034727782,0.9928160905838013,0.0028721876442432404,-0.4521516263484955,1.0
1300,0.2846190929412842,1.3881778717041016,0.39510192668558375,0.9956896305084229,0.0043082814663648605,-0.4680253863334656,1.0
1400,0.19735722243785858,1.419175624847412,0.28008455947139765,0.9985632300376892,0.003829583525657654,-0.47766733169555664,1.0
1500,0.1399700790643692,1.4449214935302734,0.2022457756912388,1.0,0.003829583525657654,-0.48363760113716125,1.0
1600,0.10422232747077942,1.468564748764038,0.15305723615772848,1.0,0.0043082814663648605,-0.4870467185974121,1.0
1700,0.07461787760257721,1.4852492809295654,0.11082614905371813,1.0,0.0028721876442432404,-0.4907335340976715,1.0
1800,0.06484778970479965,1.5007786750793457,0.09732217991499326,1.0,0.0028721876442432404,-0.49334657192230225,1.0
1900,0.05006910115480423,1.5196858644485474,0.07608930527060043,1.0,0.003350885584950447,-0.49380454421043396,1.0
2000,0.042754463851451874,1.5343562364578247,0.06560057824688581,1.0,0.003829583525657654,-0.49498802423477173,1.0
2100,0.03306557238101959,1.55018949508667,0.0512579029540845,1.0,0.003350885584950447,-0.4953848123550415,1.0
2200,0.03374712914228439,1.5618939399719238,0.0527094364987839,1.0,0.003350885584950447,-0.4967692792415619,1.0
2300,0.029561229050159454,1.576864242553711,0.046614045055136444,1.0,0.003350885584950447,-0.4967430830001831,1.0
2400,0.025357834994792938,1.5921063423156738,0.04037236992260418,1.0,0.003350885584950447,-0.4966195225715637,1.0
2500,0.023091450333595276,1.6036410331726074,0.03703039727042068,1.0,0.003350885584950447,-0.4974772036075592,1.0
2600,0.01583881862461567,1.6161381006240845,0.02559771824811574,1.0,0.003350885584950447,-0.49784818291664124,1.0
2700,0.01585748977959156,1.628212809562683,0.025819367986640307,1.0,0.003350885584950447,-0.4981834888458252,1.0
2800,0.015467504970729351,1.6443312168121338,0.02543370126956712,1.0,0.003350885584950447,-0.49708861112594604,1.0
2900,0.011264175176620483,1.654593586921692,0.018637632009198768,1.0,0.003350885584950447,-0.4978958070278168,1.0
3000,0.012876630760729313,1.6656746864318848,0.02144827790467696,1.0,0.003350885584950447,-0.49852362275123596,1.0
3100,0.0142581257969141,1.6777763366699219,0.02392194606732545,1.0,0.003350885584950447,-0.4989735782146454,1.0
3200,0.01430631522089243,1.6915407180786133,0.024199714721807375,1.0,0.003350885584950447,-0.4990071654319763,1.0
3300,0.007769398391246796,1.7057363986968994,0.013252545631926793,1.0,0.003350885584950447,-0.498771607875824,1.0
3400,0.010526256635785103,1.7192049026489258,0.018096792014782537,1.0,0.003350885584950447,-0.498935729265213,1.0
3500,0.0061319503001868725,1.7327382564544678,0.010625064871811252,1.0,0.003350885584950447,-0.4990203380584717,1.0
3600,0.01010602805763483,1.7476145029067993,0.01766144120030566,1.0,0.003829583525657654,-0.4990141987800598,1.0
3700,0.013295343145728111,1.7643710374832153,0.023457918379723663,1.0,0.003350885584950447,-0.49855026602745056,1.0
3800,0.006412501912564039,1.778265357017517,0.011403130002921202,1.0,0.003350885584950447,-0.49902138113975525,1.0
3900,0.010591673664748669,1.7957773208618164,0.01902028735712502,1.0,0.003350885584950447,-0.49875810742378235,1.0
4000,0.006425662897527218,1.8105287551879883,0.011633847447117596,1.0,0.003829583525657654,-0.49937334656715393,1.0
4100,0.00522478437051177,1.8283816576004028,0.009552899907960988,1.0,0.003829583525657654,-0.49924683570861816,1.0
4200,0.005919075105339289,1.8474096059799194,0.010934956208120405,1.0,0.003350885584950447,-0.4993289113044739,1.0
4300,0.008610792458057404,1.8678534030914307,0.016083697996096546,1.0,0.003829583525657654,-0.49929672479629517,1.0
4400,0.006127483677119017,1.8895816802978516,0.01157838090260821,1.0,0.003350885584950447,-0.49941933155059814,1.0
4500,0.005473266821354628,1.9133861064910889,0.010472472693098589,1.0,0.003829583525657654,-0.49926555156707764,1.0
4600,0.007738555781543255,1.9394776821136475,0.015008756230094678,1.0,0.003829583525657654,-0.49904727935791016,1.0
4700,0.004652824718505144,1.9681260585784912,0.009157345574488107,1.0,0.003829583525657654,-0.4991995692253113,1.0
4800,0.005073030944913626,2.0020370483398438,0.010156395899091564,1.0,0.003829583525657654,-0.4989061951637268,1.0
4900,0.007112621795386076,2.041822910308838,0.01452271413418127,1.0,0.003829583525657654,-0.4987345337867737,1.0
5000,0.011771303601562977,2.0859618186950684,0.024554489869128115,1.0,0.003829583525657654,-0.4993295967578888,1.0
5100,0.1974673718214035,2.302231788635254,0.4546156606254925,0.9748563170433044,0.003350885584950447,-0.4790169894695282,1.0
