step,V_train,C,K_est,acc_train,acc_test,sigma_mean,crisis
1,4.082296848297119,3836.598876953125,15662.135503566009,0.023706896230578423,0.01914791762828827,0.0,0.0
2,4.071246147155762,3836.3359375,15618.667904742062,0.03304597735404968,0.015318334102630615,0.0,0.0
3,4.061062335968018,3836.43310546875,15579.993989079958,0.04094827547669411,0.012924844399094582,0.0,0.0
4,4.051424503326416,3836.873779296875,15544.80444561399,0.04597701132297516,0.011967448517680168,0.0,0.0
5,4.042053699493408,3837.6669921875,15512.056063195225,0.04813218489289284,0.010531354695558548,0.0,0.0
6,4.032812595367432,3838.829833984375,15481.281305964454,0.05100574716925621,0.009573958814144135,0.0,0.0
7,4.023564338684082,3840.352783203125,15451.906506462255,0.05316092073917389,0.007180469110608101,0.0,0.0
8,4.014216423034668,3842.20849609375,15423.456445742864,0.056752871721982956,0.007180469110608101,0.0,0.0
9,4.004734516143799,3844.377685546875,15395.712010402582,0.05747126415371895,0.006701771169900894,0.0,0.0
10,3.9950308799743652,3846.8427734375,15368.255670289043,0.061063218861818314,0.007180469110608101,0.0,0.0
11,3.9850759506225586,3849.599365234375,15340.945849927375,0.0625,0.007659167051315308,0.0,0.0
12,3.9748661518096924,3852.640380859375,15313.729844973132,0.0625,0.0062230732291936874,0.0,0.0
13,3.9643337726593018,3855.954345703125,15286.290038503299,0.06752873212099075,0.005744375288486481,0.0,0.0
14,3.9534828662872314,3859.5419921875,15258.633137829369,0.07183907926082611,0.004786979407072067,0.0,0.0
15,3.9423000812530518,3863.393310546875,15230.655762081442,0.0732758641242981,0.003350885584950447,0.0,0.0
16,3.9307327270507812,3867.498291015625,15202.102104308084,0.07830459624528885,0.003350885584950447,0.0,0.0
17,3.9187419414520264,3871.85546875,15172.80241663102,0.07830459624528885,0.003350885584950447,0.0,0.0
18,3.906278133392334,3876.45849609375,15142.525058293948,0.08477011322975159,0.0028721876442432404,0.0,0.0
19,3.893312692642212,3881.30419921875,15111.130902823876,0.08908046036958694,0.0028721876442432404,0.0,0.0
20,3.8797965049743652,3886.389892578125,15078.401922192308,0.0941091924905777,0.0028721876442432404,0.0,0.0
100,0.8102734684944153,4817.6337890625,3903.600840199564,0.9525861740112305,0.0,0.0,0.0
200,0.01964251697063446,5493.9287109375,107.91458794004575,1.0,0.0004786979407072067,0.0,0.0
300,0.007175961975008249,5635.95068359375,40.4433677984905,1.0,0.0004786979407072067,0.0,0.0
400,0.0038443398661911488,5720.63134765625,21.99205114957772,1.0,0.0004786979407072067,0.0,0.0
500,0.002418034477159381,5781.83251953125,13.980670373387852,1.0,0.0004786979407072067,0.0,0.0
600,0.0016679948894307017,5829.91357421875,9.724266047619551,1.0,0.0004786979407072067,0.0,0.0
700,0.0012220144271850586,5869.603515625,7.1727401779498905,1.0,0.0004786979407072067,0.0,0.0
800,0.0009340905817225575,5903.48974609375,5.5143941711218645,1.0,0.0004786979407072067,0.0,0.0
900,0.0007366978097707033,5933.1044921875,4.370905084535252,1.0,0.0004786979407072067,0.0,0.0
1000,0.000595307326875627,5959.46630859375,3.547713957774306,1.0,0.0004786979407072067,0.0,0.0
1100,0.00049034837866202,5983.2578125,2.9338807674762393,1.0,0.0004786979407072067,0.0,0.0
1200,0.00041026523103937507,6004.9599609375,2.46362628575622,1.0,0.0004786979407072067,0.0,0.0
1300,0.00034775168751366436,6024.94384765625,2.095184390197531,1.0,0.0004786979407072067,0.0,0.0
1400,0.00029800826450809836,6043.490234375,1.8010100363177344,1.0,0.0004786979407072067,0.0,0.0
1500,0.0002577959094196558,6060.81591796875,1.56245355139788,1.0,0.0004786979407072067,0.0,0.0
1600,0.00022483522479888052,6077.09375,1.3663447394051218,1.0,0.0004786979407072067,0.0,0.0
1700,0.00019748705381061882,6092.45849609375,1.2031816788570282,1.0,0.0004786979407072067,0.0,0.0
1800,0.0001745425397530198,6107.0302734375,1.0659365742743603,1.0,0.0004786979407072067,0.0,0.0
1900,0.00015510634693782777,6120.8994140625,0.9493903480891248,1.0,0.0004786979407072067,0.0,0.0
2000,0.00013850686082150787,6134.14599609375,0.8496213057397668,1.0,0.0,0.0,0.0
2100,0.00012422862346284091,6146.83984375,0.7636134524356066,1.0,0.0,0.0,0.0
2200,0.0001118559084716253,6159.03564453125,0.6889245273281652,1.0,0.0,0.0,0.0
2300,0.00010106982517754659,6170.783203125,0.6236799795483847,1.0,0.0,0.0,0.0
2400,9.160574700217694e-05,6182.12744140625,0.5663184023326764,1.0,0.0,0.0,0.0
