step,V_train,C,K_est,acc_train,acc_test,sigma_mean,crisis
1,4.579690933227539,12722.1513671875,58263.521267456934,0.015944724902510643,0.008855827152729034,0.0,0.0
2,4.561126232147217,12721.0107421875,58022.13579561794,0.02418283373117447,0.0067304284311831,0.0,0.0
3,4.544693946838379,12721.6640625,57816.06965855509,0.028434759005904198,0.005313496105372906,0.0,0.0
4,4.529114246368408,12723.93359375,57628.1489092987,0.031357958912849426,0.005313496105372906,0.0,0.0
5,4.5137481689453125,12727.71875,57449.71720266342,0.035609886050224304,0.0047821467742323875,0.0,0.0
6,4.498221397399902,12732.892578125,57275.36984571628,0.034812647849321365,0.004250796977430582,0.0,0.0
7,4.482308864593506,12739.3388671875,57101.65153345512,0.035078395158052444,0.004605030175298452,0.0,0.0
8,4.465976238250732,12747.0126953125,56927.85580594605,0.035875629633665085,0.004427913576364517,0.0,0.0
9,4.449066638946533,12755.8740234375,56751.73356828047,0.03773584961891174,0.004427913576364517,0.0,0.0
10,4.431403636932373,12765.8681640625,56570.71461082576,0.04278501123189926,0.00371944741345942,0.0,0.0
11,4.412861347198486,12776.9365234375,56382.84931988595,0.04836566746234894,0.00336521421559155,0.0,0.0
12,4.393307685852051,12789.0361328125,56186.170736924745,0.056869518011808395,0.002833864651620388,0.0,0.0
13,4.372605800628662,12802.1435546875,55978.7271677074,0.06457613408565521,0.002302515087649226,0.0,0.0
14,4.350597381591797,12816.244140625,55758.318200044334,0.07387722283601761,0.0017711654072627425,0.0,0.0
15,4.327175617218018,12831.3203125,55523.376392964274,0.08477278798818588,0.0015940489247441292,0.0,0.0
16,4.302194595336914,12847.333984375,55271.73083206639,0.09433962404727936,0.0017711654072627425,0.0,0.0
17,4.275600910186768,12864.263671875,55002.45746435132,0.10523518174886703,0.0015940489247441292,0.0,0.0
18,4.247293949127197,12882.083984375,54713.997358984314,0.11187881976366043,0.001416932325810194,0.0,0.0
19,4.2172322273254395,12900.7724609375,54405.553379658144,0.11852245777845383,0.0008855827036313713,0.0,0.0
20,4.185389995574951,12920.3154296875,54076.55893908674,0.12357161939144135,0.000708466162905097,0.0,0.0
100,0.0536036416888237,15590.2080078125,835.6919239050112,1.0,0.0,0.0,0.0
200,0.006409069523215294,16140.029296875,103.44256987040353,1.0,0.0,0.0,0.0
300,0.002973038936033845,16327.755859375,48.54305390797663,1.0,0.0,0.0,0.0
400,0.0017437119968235493,16454.501953125,28.691912457420585,1.0,0.0,0.0,0.0
500,0.0011536979582160711,16550.353515625,19.094109058730737,1.0,0.0,0.0,0.0
600,0.0008224697085097432,16627.41015625,13.675541184482881,1.0,0.0,0.0,0.0
700,0.0006167631363496184,16691.837890625,10.294910288861274,1.0,0.0,0.0,0.0
800,0.00047975359484553337,16747.189453125,8.03452434369592,1.0,0.0,0.0,0.0
900,0.00038375414442270994,16795.69921875,6.445419183672584,1.0,0.0,0.0,0.0
1000,0.0003137353342026472,16838.892578125,5.2829555906005226,1.0,0.0,0.0,0.0
1100,0.0002610301598906517,16877.83203125,4.40562319372475,1.0,0.0,0.0,0.0
1200,0.0002203294134233147,16913.310546875,3.7264997918393306,1.0,0.0,0.0,0.0
1300,0.0001882488577393815,16945.91015625,3.1900482302682462,1.0,0.0,0.0,0.0
1400,0.00016248953761532903,16976.080078125,2.75843540241533,1.0,0.0,0.0,0.0
1500,0.00014148552145343274,17004.171875,2.40584412461817,1.0,0.0,0.0,0.0
1600,0.00012413009244482964,17030.46875,2.1139936603162823,1.0,0.0,0.0,0.0
1700,0.00010962105443468317,17055.2109375,1.8696102065746913,1.0,0.0,0.0,0.0
1800,9.737323853187263e-05,17078.587890625,1.6629974124613796,1.0,0.0,0.0,0.0
1900,8.693995914654806e-05,17100.75390625,1.4867388459845472,1.0,0.0,0.0,0.0
2000,7.798584556439891e-05,17121.849609375,1.3352619194135826,1.0,0.0,0.0,0.0
2100,7.023905345704406e-05,17141.986328125,1.2040368940610904,1.0,0.0,0.0,0.0
2200,6.349760224111378e-05,17161.2578125,1.0896987225353314,1.0,0.0,0.0,0.0
2300,5.759267514804378e-05,17179.751953125,0.9894278733602988,1.0,0.0,0.0,0.0
