step,V,C,K_est,acc_train,acc_test,gov_signal,srank
1,5.067405700683594,54113.84616861056,274216.8125607322,0.012010443864229765,0.00839020024611254,1e-06,47.62222849097339
2,4.92645263671875,54100.97185078607,266525.8754233519,0.009138381201044387,0.0064884215236603645,1e-06,47.421887628510014
3,4.791940212249756,54088.73417704215,259189.98033265598,0.010443864229765013,0.0069358988701197005,1e-06,46.618550558905646
4,4.751014709472656,54076.43921689119,256917.95815535405,0.013577023498694517,0.007495245553193869,1e-06,45.72127240861045
5,4.735864162445068,54063.96274101746,256039.58362495003,0.014099216710182768,0.007942722899653205,1e-06,44.851590905068115
6,4.7257161140441895,54051.27682579064,255430.9898803021,0.013577023498694517,0.007271506879964202,1e-06,44.05282129263858
7,4.7162766456604,54038.401101850905,254860.04908548866,0.015404699738903394,0.005817205503971362,1e-06,43.336895824335684
8,4.708233833312988,54025.36861261912,254364.0683591389,0.016971279373368148,0.006712160196890032,1e-06,42.691205101766975
9,4.701205253601074,54012.194501822814,253922.41255049247,0.015926892950391645,0.005257858820897192,1e-06,42.08944126672427
10,4.694556713104248,53998.91832999757,253500.98454645812,0.020365535248041775,0.005257858820897192,1e-06,41.53241458681514
100,2.9985899925231934,52945.2352555471,158761.0525890697,0.24673629242819844,0.0004474773464593355,1.0000000000395064e-06,32.21874030953892
200,0.2466762810945511,47641.60769603145,11752.054611822583,0.9994778067885117,0.0006712160196890032,0.0002998355126040944,18.50903482490937
300,0.22361215949058533,44031.67915188744,9846.018861150134,0.9994778067885117,0.0006712160196890032,0.0002998117816623797,12.302476681113307
400,0.05079864338040352,40929.14049620078,2079.144811932935,1.0,0.0006712160196890032,0.000299796060446959,10.551170907839575
500,0.038089849054813385,38282.045031341695,1458.1573167533738,1.0,0.0007830853563038371,0.00029979095469064856,9.654964555153418
600,4.877795696258545,36395.78278196056,177531.19261580808,0.05065274151436031,0.0038035574449043516,1e-06,6.900568452516504
700,0.11213134974241257,35883.100171852406,4023.6204552120066,1.0,0.0003356080098445016,0.00029971695167228693,7.684666309112256
800,0.0518636554479599,33912.03686559106,1758.8021955355287,1.0,0.0003356080098445016,0.0002998061100202785,7.348044949323133
900,0.03921550139784813,32139.138803876067,1260.352442689037,1.0,0.0004474773464593355,0.0002998492963011782,7.115390828771503
