step,V,C,K_est,acc_train,acc_test,gov_signal,srank
1,5.0106329917907715,54166.2789059442,271407.3441286645,0.00835509138381201,0.00839020024611254,1e-06,47.69874429375257
2,4.88870906829834,54153.053175948735,264738.5221373028,0.012532637075718016,0.00894954692918671,1e-06,47.50175833392282
3,4.768734931945801,54140.977586894296,258183.9710683175,0.011227154046997388,0.006712160196890032,1e-06,46.928059419235105
4,4.750337600708008,54128.64769716136,257129.35043130253,0.010443864229765013,0.006376552187045531,1e-06,46.14410141434734
5,4.733393669128418,54116.14570199407,256153.02146344978,0.013838120104438642,0.006152813513815863,1e-06,45.34957683744207
6,4.7206525802612305,54103.49341261279,255403.79577939707,0.016971279373368148,0.008837677592571876,1e-06,44.60824779658913
7,4.711812973022461,54090.68061853654,254865.17065803506,0.013838120104438642,0.005705336167356527,1e-06,43.926027598788416
8,4.705722808837891,54077.70105628748,254474.6713100889,0.015665796344647518,0.006264682850430697,1e-06,43.29737266959064
9,4.701180934906006,54064.55989984432,254167.27825523185,0.017493472584856395,0.00548159749412686,1e-06,42.725776032030296
10,4.697117328643799,54051.26566971681,253885.1366123565,0.021409921671018278,0.005929074840586196,1e-06,42.20763673306973
100,2.957501173019409,52958.86836843954,156625.9153214404,0.2509138381201044,0.00022373867322966775,1.0000000001140093e-06,32.95393071889278
200,0.28330838680267334,47746.32519865078,13526.934367785585,0.9942558746736292,0.0004474773464593355,0.0003,15.144273041086016
300,0.04222261160612106,43185.34490829355,1823.3980451392563,1.0,0.0004474773464593355,0.0003,10.29637614610798
400,1.0794541835784912,42842.043220591586,46246.02278751812,0.7088772845953003,0.0003356080098445016,0.0002999618257284164,6.898349454830712
500,0.07727527618408203,39965.69509391238,3088.360126270891,1.0,0.00011186933661483388,0.0003,7.156155187726532
600,0.045612264424562454,37362.671063934715,1704.1960321761385,1.0,0.0003356080098445016,0.0003,7.086728454008366
700,0.09198388457298279,36165.47157542,3326.6405629209235,1.0,0.0004474773464593355,0.0003,7.022826015405536
800,0.046883367002010345,34178.38392485159,1602.3977170844278,1.0,0.00022373867322966775,0.0003,6.915367103501245
900,0.037387914955616,32397.606070860926,1211.2789405428969,1.0,0.0003356080098445016,0.0003,6.902263461359586
1000,0.03299141302704811,30796.151846464905,1016.008565210414,1.0,0.0003356080098445016,0.0003,6.812218423916786
1100,4.220608234405518,29942.958696251328,126377.49803586265,0.08407310704960835,0.004251034791363687,1e-06,5.221852261355988
1200,2.4954874515533447,30164.931379252746,75276.20773389295,0.3569190600522193,0.008837677592571876,1.000001174734821e-06,5.135990393050503
1300,1.2459899187088013,30107.25190586002,37513.33235472793,0.7229765013054831,0.026513032777715627,0.0002989361996054649,4.979321993805708
1400,0.021464858204126358,28727.238772378034,616.6261068451754,1.0,0.0038035574449043516,0.0003,5.169960632213447
1500,0.011869230307638645,27276.53719214035,323.7515019283849,1.0,0.0034679494350598502,0.0003,5.130330818933683
1600,0.01062196958810091,25976.737068640326,275.92411114119113,1.0,0.0034679494350598502,0.0003,5.0139049822622646
1700,0.851262629032135,25393.72783996875,21616.731521978316,0.8451697127937337,0.053361673565275755,0.0002999996079206466,4.4465198283143845
1800,0.5295655727386475,24499.954695409353,12974.33254034537,0.783289817232376,0.052466718872357085,0.0003,4.611597978325313
1900,0.012849870137870312,23522.498668537173,302.26105320893,1.0,0.019689003244210763,0.0003,4.692932492069144
2000,0.009062387980520725,22533.983957436056,204.21170536911535,1.0,0.018458440541447588,0.0003,4.634007872418168
2100,0.049740228801965714,21805.30831227175,1084.6010245498017,1.0,0.058172055039713615,0.0003,4.792535526296894
2200,0.00947650894522667,20946.926447068152,198.50373585064645,1.0,0.04150352388410337,0.0003,4.797622756553986
2300,0.0077363005839288235,20121.607045894914,155.66680033874314,1.0,0.03893052914196219,0.0003,4.708018381573695
2400,1.22457754611969,19482.27843778528,23857.560722163646,0.7109660574412533,0.2275422306745721,0.0002993059304356575,4.25107147420443
2500,0.09557761251926422,18934.249844764756,1809.6903950058645,1.0,0.6109184472536078,0.0003,3.9989258796531133
2600,0.040840938687324524,18237.80856775943,744.8492215070248,1.0,0.7597046649513368,0.0003,3.9257648689529616
