step,V,C,K_est,acc_train,acc_test,gov_signal,srank
1,5.067405700683594,54113.84616861056,274216.8125607322,0.012010443864229765,0.00839020024611254,1.0249166666666666e-06,47.62220473875169
2,4.926452159881592,54100.88333163009,266525.41354061104,0.009138381201044387,0.0064884215236603645,1.0498333333333333e-06,47.421873207185996
3,4.791940689086914,54088.48712062498,259188.82224447635,0.010443864229765013,0.0069358988701197005,1.07475e-06,46.61847547165238
4,4.751015663146973,54075.94028284226,256915.6392831839,0.013577023498694517,0.007495245553193869,1.0996666666666666e-06,45.721309384524304
5,4.735864639282227,54063.099829341634,256035.52277176402,0.014099216710182768,0.007942722899653205,1.1245833333333333e-06,44.851586546062826
6,4.725717067718506,54049.93424392713,255424.69676558935,0.013577023498694517,0.007271506879964202,1.1495e-06,44.05289513524698
7,4.716278076171875,54036.444642305025,254850.89918077836,0.015404699738903394,0.005817205503971362,1.1744166666666666e-06,43.3370151660778
8,4.708233833312988,54022.65575698693,254351.29560046658,0.016971279373368148,0.006712160196890032,1.1993333333333333e-06,42.69111633490355
9,4.701207160949707,54008.57467931812,253905.49803509735,0.015926892950391645,0.005257858820897192,1.22425e-06,42.08966768230657
10,4.694559574127197,53994.22091480298,253479.0867431273,0.020365535248041775,0.005257858820897192,1.2491666666666666e-06,41.532390440702294
100,3.018627405166626,52212.974679148174,157611.5162717478,0.23681462140992168,0.0003356080098445016,3.4916666666666666e-06,31.636513221425123
200,0.228969007730484,51118.815314879874,11704.624419005913,0.9992167101827676,0.0005593466830741693,5.9833333333333325e-06,28.658127598337916
300,0.02536245435476303,49585.02310812613,1257.597885259719,1.0,0.000894954692918671,8.475e-06,25.896498593125994
400,0.011797292158007622,47799.00318552065,563.8988054411241,1.0,0.0005593466830741693,1.0966666666666666e-05,23.37812235425727
500,0.007320336531847715,45883.00805069122,335.87906002453775,1.0,0.0005593466830741693,1.3458333333333331e-05,21.236010672442344
600,0.005253111943602562,43856.58049229521,230.3835267896431,1.0,0.0005593466830741693,1.5949999999999998e-05,19.4052673323103
700,0.004134796559810638,41744.86712695577,172.60653298628893,1.0,0.0004474773464593355,1.8441666666666663e-05,17.792008670314683
800,0.0034711649641394615,39579.65731673734,137.38751977050475,1.0,0.0006712160196890032,2.093333333333333e-05,16.35898430181085
900,4.722853183746338,37852.58612914791,178772.20691307867,0.03446475195822454,0.005257858820897192,2.3424999999999997e-05,7.250164457302503
1000,3.0573954582214355,36739.751916511275,112327.95064572386,0.24778067885117494,0.004251034791363687,2.5916666666666662e-05,7.503092578912828
1100,1.982649326324463,35927.52643659427,71231.68608601796,0.5031331592689295,0.007159637543349368,2.8408333333333327e-05,7.387919637687064
1200,0.6542856693267822,34692.22611671295,22698.626385209605,0.931070496083551,0.016668531155610247,3.089999999999999e-05,7.017996480118747
1300,0.23857174813747406,33335.43880502942,7952.893910645658,0.9992167101827676,0.024387515382033785,3.339166666666666e-05,6.803978353240755
1400,0.11206088960170746,31858.47824006326,3570.0894129381286,1.0,0.025841816758026624,3.588333333333332e-05,6.568212347372066
1500,0.06435128301382065,30324.020700320507,1951.3896382032808,1.0,0.026513032777715627,3.837499999999999e-05,6.326573211304479
1600,0.037903714925050735,28778.536828871343,1090.813455921613,1.0,0.027072379460789796,4.086666666666666e-05,6.068525080192228
1700,0.0247015580534935,27243.325288012886,672.9525811720578,1.0,0.02517060073833762,4.335833333333332e-05,5.811624823631374
1800,0.017568068578839302,25750.644139472082,452.3890821915319,1.0,0.024723123391878286,4.584999999999999e-05,5.569997852212265
1900,0.10088974982500076,25178.696981776415,2540.272439410924,0.9992167101827676,0.045978297348696726,4.834166666666665e-05,5.115528622894918
2000,0.0459548756480217,24104.393699988672,1107.714415053937,1.0,0.047991945407763734,5.083333333333332e-05,4.9703621182865225
2100,0.03232858330011368,23030.475704301327,744.5426522477496,1.0,0.05078867882313458,5.332499999999999e-05,4.8227311950218335
2200,0.02577122673392296,21973.928142178676,566.2950843870171,1.0,0.05123615616959391,5.581666666666665e-05,4.681531386976661
2300,0.021849995478987694,20941.911581391185,457.5806733747574,1.0,0.050676809486519744,5.8308333333333325e-05,4.533838815214529
2400,0.019246773794293404,19939.105367819866,383.76345067501035,1.0,0.05224298019912742,6.079999999999999e-05,4.389310319732574
2500,0.01741153933107853,18968.920247316622,330.27810095424525,1.0,0.05313793489204609,6.329166666666666e-05,4.255470920150514
2600,0.016063928604125977,18033.8199133016,289.6939955469422,1.0,0.05503971361449827,6.578333333333332e-05,4.11188328054027
2700,0.015041413716971874,17135.45812614327,257.7415149051685,1.0,0.05806018570309878,6.827499999999999e-05,3.963602865581889
2800,0.014238721691071987,16274.74965012557,231.73163086000918,1.0,0.06074504978185479,7.076666666666665e-05,3.794432290905635
2900,0.013581957668066025,15451.938126908968,209.86756952925302,1.0,0.06354178319722564,7.325833333333332e-05,3.6500836468687385
3000,0.01301584579050541,14666.666999701112,190.8990759288043,1.0,0.06689786329567066,7.574999999999998e-05,3.549685030884981
3100,0.012499756179749966,13918.05880878046,173.972341605177,1.0,0.07114889808703434,7.824166666666665e-05,3.479307248139349
3200,0.05041944608092308,13733.411812662578,692.4310163956529,1.0,0.1624342767647388,8.073333333333332e-05,3.3045103638104174
3300,0.02389027178287506,13113.901111467541,313.2946616867069,1.0,0.16937017563485848,8.322499999999999e-05,3.260158070350465
3400,0.01728905737400055,12504.812835668781,216.19642656701606,1.0,0.17294999440653316,8.571666666666665e-05,3.2114282505621876
3500,0.014138268306851387,11912.406819583335,168.4208037956354,1.0,0.17809598389081552,8.820833333333333e-05,3.167252142420907
3600,0.012308127246797085,11338.290666114559,139.55312427970966,1.0,0.18380132005817207,9.069999999999998e-05,3.129370514141372
3700,0.011140666902065277,10783.213845245571,120.13219358361938,1.0,0.18861170153260992,9.319166666666665e-05,3.0806030098541983
3800,0.010355817154049873,10247.549189405241,106.12174568261267,1.0,0.1921915203042846,9.56833333333333e-05,3.0273056662346662
3900,0.009808938950300217,9731.433185915519,95.45503401957086,1.0,0.1984562031547153,9.817499999999999e-05,2.981841796145572
4000,0.009414559230208397,9234.818797837132,86.94174855247958,1.0,0.205392102024835,0.00010066666666666664,2.936659195227796
4100,0.00911667849868536,8757.519332163543,79.83948819735674,1.0,0.21355856359771785,0.00010315833333333331,2.9045504986249515
4200,0.07448070496320724,8709.762233025322,648.7092311776441,0.9992167101827676,0.5459223626803893,0.00010564999999999998,2.7625674219335323
4300,0.019091825932264328,8292.244855152872,158.31409536229307,1.0,0.6072267591453183,0.00010814166666666665,2.7333295907580424
4400,0.013391213491559029,7875.541938713057,105.46306346303324,1.0,0.6288175411119812,0.0001106333333333333,2.707929918112918
4500,0.010805804282426834,7472.852640016759,80.75018305943777,1.0,0.6466047656337398,0.00011312499999999997,2.678003045063815
4600,0.009336947463452816,7084.810273505024,66.15050131224719,1.0,0.6627139501062759,0.00011561666666666665,2.640115455719414
4700,0.0084208520129323,6711.62450810859,56.517596749151984,1.0,0.6772569638662043,0.00011810833333333331,2.612157454632817
4800,0.007828125730156898,6353.336020952008,49.73471317794706,1.0,0.6900100682402953,0.00012059999999999998,2.5885639331766783
4900,0.007444300223141909,6009.883573324295,44.73937762595494,1.0,0.7005257858820897,0.00012309166666666665,2.5583624874844375
5000,0.007204689551144838,5681.129911003908,40.930777308506265,1.0,0.7110415035238841,0.00012558333333333331,2.520717641892519
