step,V,C,K_est,acc_train,acc_test,gov_signal,srank
1,5.067405700683594,54113.84616861056,274216.8125607322,0.012010443864229765,0.00839020024611254,1e-06,47.622232413944005
2,4.92645263671875,54100.97185078607,266525.8754233519,0.009138381201044387,0.0064884215236603645,1e-06,47.4219039952665
3,4.791940212249756,54088.73416178336,259189.98025953677,0.010443864229765013,0.0069358988701197005,1e-06,46.61852444856331
4,4.751014709472656,54076.439216861385,256917.95815521246,0.013577023498694517,0.007495245553193869,1e-06,45.721212944522726
5,4.735864162445068,54063.96275627252,256039.58369719592,0.014099216710182768,0.007942722899653205,1e-06,44.85165718446699
6,4.725716590881348,54051.27681437635,255431.01560001864,0.013577023498694517,0.007271506879964202,1e-06,44.05282373972505
7,4.7162766456604,54038.40109899733,254860.04907203044,0.015404699738903394,0.005817205503971362,1e-06,43.33688898845822
8,4.708232879638672,54025.368593549356,254364.01674674754,0.016971279373368148,0.006712160196890032,1e-06,42.69109047414867
9,4.701205730438232,54012.194550460204,253922.43853416818,0.015926892950391645,0.005257858820897192,1e-06,42.08946539485046
10,4.694556713104248,53998.91826902714,253500.984260229,0.020365535248041775,0.005257858820897192,1e-06,41.53243665094691
100,3.0067615509033203,52944.92313218652,159192.75918939023,0.23890339425587467,0.0003356080098445016,1.000000000033574e-06,32.224093239612294
200,0.20902718603610992,47437.36741564085,9915.69942385246,1.0,0.000894954692918671,0.0003,18.29416974554344
300,0.3266734182834625,44188.378992005855,14435.168813723696,0.9887728459530026,0.0003356080098445016,0.0003,11.640372135097506
400,0.0602329820394516,41111.97049121492,2476.296580203812,1.0,0.0004474773464593355,0.0003,10.333373361583812
500,0.04150746762752533,38464.719110698235,1596.5730832891618,1.0,0.0006712160196890032,0.0003,9.48117757812364
600,4.717817783355713,36426.709127069924,171854.57610881634,0.04699738903394256,0.004698512137823023,1e-06,7.306809384384123
700,0.12534943222999573,36227.0039854465,4541.034380969511,1.0,0.00011186933661483388,0.0003,7.984106235657919
