step,V,C,K_est,acc_train,acc_test,gov_signal,srank
1,5.067405700683594,54113.84616861056,274216.8125607322,0.012010443864229765,0.00839020024611254,1.0782780160577638e-06,47.62207622357201
2,4.926454544067383,54100.69932768092,266524.6360400769,0.009138381201044387,0.0064884215236603645,1.1565560267504371e-06,47.421542645575585
3,4.791945934295654,54087.97420663817,259186.648093788,0.010443864229765013,0.0069358988701197005,1.2348340267129296e-06,46.61844536173808
4,4.751016616821289,54074.91260728985,256910.8083503931,0.013577023498694517,0.007495245553193869,1.3131120105801516e-06,45.72131443754743
5,4.735867023468018,54061.3552098152,256027.3893821547,0.014099216710182768,0.007942722899653205,1.3913899729870149e-06,44.85173539375584
6,4.725718975067139,54047.24469660595,255412.08981284752,0.013577023498694517,0.007271506879964202,1.4696679085684327e-06,44.052928589728715
7,4.716282844543457,54032.5650165563,254832.85943426343,0.015404699738903394,0.005817205503971362,1.5479458119593195e-06,43.336991517685036
8,4.708237648010254,54017.31808696652,254326.37066160102,0.016971279373368148,0.006712160196890032,1.6262236777945927e-06,42.691260784887746
9,4.701211452484131,54001.49792233959,253872.46048380088,0.015926892950391645,0.005257858820897192,1.704501500709172e-06,42.08972266517366
10,4.694566249847412,53985.118161719525,253436.71371603306,0.02010443864229765,0.005257858820897192,1.7827792753379797e-06,41.53245333423649
100,3.0254786014556885,51341.80057374749,155333.5189960784,0.23211488250652743,0.0004474773464593355,8.826907544054072e-06,30.589247501286312
200,0.495248943567276,49275.52796594112,24403.653168852103,0.9856396866840731,0.00022373867322966775,1.6648450916640205e-05,25.750712505566558
300,0.035450901836156845,47131.01079600339,1670.8368371679649,1.0,0.0005593466830741693,2.4459269622625635e-05,21.98634799247675
400,0.015579387545585632,44598.35090645356,694.8149926656603,1.0,0.0007830853563038371,3.225401051702838e-05,19.08947899956162
500,0.00991208478808403,41917.68861902261,415.49168371225704,1.0,0.0006712160196890032,4.002733147379541e-05,16.72890061158307
