step,V,C,K_est,acc_train,acc_test,penalty
1,5.0106329917907715,54166.2789059442,271407.3441286645,0.00835509138381201,0.00839020024611254,0.0
2,4.888632297515869,54156.21452601958,264749.8194430974,0.012532637075718016,0.00894954692918671,0.0
3,4.768701076507568,54147.85762950254,258214.94696838732,0.011227154046997388,0.006600290860275198,0.0
4,4.750308036804199,54140.27557438618,257182.98617580073,0.010443864229765013,0.006376552187045531,0.0
5,4.7333760261535645,54133.23465119759,256232.9551161241,0.013838120104438642,0.006152813513815863,0.0
6,4.720643997192383,54126.643690444005,255512.61562546546,0.016971279373368148,0.008837677592571876,0.0
7,4.71181583404541,54120.44148177889,255005.55311937383,0.013838120104438642,0.005705336167356527,0.0
8,4.7057390213012695,54114.586183377105,254649.11982468818,0.015665796344647518,0.006264682850430697,0.0
9,4.701203346252441,54109.04250597773,254377.6116916181,0.017493472584856395,0.00548159749412686,0.0
10,4.697150230407715,54103.7939469415,254133.6482038078,0.021409921671018278,0.005929074840586196,0.0
100,2.9382660388946533,53398.130020967714,156897.91198109047,0.26370757180156656,0.00022373867322966775,0.0
200,0.2809361219406128,53204.767113300164,14947.140941564001,0.9953002610966057,0.0006712160196890032,0.8916246891021729
300,0.026939954608678818,52695.029043770366,1419.6016905421857,1.0,0.001006824029533505,0.9897070527076721
400,0.42402949929237366,53311.126549978835,22605.490297699893,0.9712793733681462,0.0004474773464593355,0.836097240447998
500,0.019426019862294197,52691.531261893295,1023.5867328682348,1.0,0.001789909385837342,0.992578387260437
600,0.0008278149762190878,51980.405481973634,43.03015812791855,1.0,0.009061416265801543,0.9996880292892456
700,0.00026732406695373356,51007.336319134694,13.635488589307968,1.0,0.014543013759928404,0.9999011158943176
800,0.00016888385289348662,50031.7691285566,8.449557937508038,1.0,0.019800872580825597,0.9999387264251709
900,0.0001265490282094106,49069.721605932726,6.2097255837371055,1.0,0.02427564604541895,0.9999549984931946
1000,0.0001028347760438919,48124.120453810916,4.948833149176923,1.0,0.03065219823246448,0.9999641180038452
1100,8.752904977882281e-05,47195.865969968734,4.1310093018400424,1.0,0.036021926389976505,0.999970018863678
