step,V,C,K_est,acc_train,acc_test,penalty
1,5.0106329917907715,54166.2789059442,271407.3441286645,0.00835509138381201,0.00839020024611254,0.0
2,4.888705253601074,54167.049547340896,264806.7396941551,0.012532637075718016,0.00894954692918671,0.0
3,4.768739700317383,54169.52302320194,258320.35498799957,0.011227154046997388,0.006600290860275198,0.0
4,4.75033712387085,54172.77431137912,257338.94091442134,0.010443864229765013,0.006376552187045531,0.0
5,4.733386516571045,54176.56051877889,256438.6010737832,0.013838120104438642,0.006152813513815863,0.0
6,4.720644474029541,54180.80009479838,255768.29456600922,0.016971279373368148,0.008837677592571876,0.0
7,4.711799144744873,54185.423343286995,255310.83136653854,0.013838120104438642,0.005705336167356527,0.0
8,4.705709934234619,54190.39388116749,255004.27482669678,0.015665796344647518,0.006264682850430697,0.0
9,4.701161861419678,54195.67648847413,254782.64736145368,0.017493472584856395,0.005593466830741693,0.0
10,4.697092533111572,54201.25494902514,254588.30990634265,0.021409921671018278,0.005929074840586196,0.0
100,2.919649124145508,54459.91236864737,159003.8354481624,0.2694516971279373,0.0003356080098445016,0.0
200,2.482006788253784,55111.64615740214,136787.47987451268,0.3300261096605744,0.00011186933661483388,0.008212625980377197
300,2.48529052734375,55158.9454128091,137086.00453272546,0.36449086161879896,0.0,0.006048142910003662
400,2.490739345550537,55161.68870180189,137393.3884165885,0.36005221932114884,0.0,0.0038193464279174805
500,2.4831464290618896,55166.993842061405,136987.72376099403,0.35744125326370757,0.0,0.006760716438293457
600,2.517753839492798,55163.550485553744,138888.24103505773,0.3660574412532637,0.0,0.0
700,2.4885153770446777,55185.26029532075,137329.3688311188,0.3618798955613577,0.0,0.004283487796783447
800,2.5028436183929443,55183.97979847438,138116.87167613677,0.3647519582245431,0.0,0.0
900,2.4926178455352783,55184.866064126276,137554.78195491532,0.3689295039164491,0.0,0.0026491880416870117
1000,2.4955687522888184,55185.15030268777,137718.3366857494,0.36344647519582246,0.0,0.0014633536338806152
1100,2.442725658416748,55249.22041164179,134958.68830703973,0.3308093994778068,0.0,0.02147233486175537
1200,2.5079708099365234,55424.19620498753,139002.26624630336,0.34046997389033945,0.00011186933661483388,0.0
1300,2.501603364944458,55473.448591988184,138772.56566279105,0.3483028720626632,0.0,0.0
1400,2.472820520401001,55473.41702906969,137175.80396624588,0.37101827676240207,0.0,0.005396902561187744
1500,2.4860916137695312,55473.2150311382,137911.49467774658,0.3731070496083551,0.0,6.276369094848633e-05
1600,2.4821465015411377,55474.36695197802,137695.50585506155,0.37885117493472587,0.0,0.001628875732421875
1700,2.488616704940796,55473.86867593776,138053.19627463067,0.37911227154046995,0.0,0.0
1800,2.4859888553619385,55484.26305505438,137933.25960283534,0.383289817232376,0.0,0.0
1900,2.486987352371216,55487.89817258963,137997.7009648923,0.37885117493472587,0.0,0.0
2000,2.485983371734619,55491.388129667495,137950.6681648252,0.38093994778067886,0.0,0.0
2100,2.4918932914733887,55496.97447105269,138292.5383814861,0.37493472584856397,0.0,0.0
2200,2.4770286083221436,55501.8473353134,137479.66366429944,0.3845953002610966,0.0,0.003193795680999756
2300,2.4974381923675537,55515.43358193764,138646.36409337533,0.3558746736292428,0.0,0.0
2400,2.4960336685180664,55525.41270861449,138593.29957906267,0.3751958224543081,0.0,0.0
2500,2.485668420791626,55529.61637259065,138028.21383602222,0.3827676240208877,0.0,0.0
2600,2.471036195755005,55533.06392839062,137224.21102822985,0.3906005221932115,0.0,0.005046069622039795
