step,V,C,K_est,acc_train,acc_test,penalty
1,4.380178451538086,47092.0820347236,206271.72296656013,0.02083333395421505,0.015318334102630615,0.0
2,4.264980792999268,47094.61014374299,200857.60771685233,0.02083333395421505,0.010052656754851341,0.0
3,4.122287273406982,47097.507235399564,194149.4546856809,0.026580460369586945,0.010531354695558548,0.0
4,4.08967399597168,47100.758013883955,192626.7452399359,0.031609196215867996,0.010531354695558548,0.0
5,4.067772388458252,47104.33932681172,191609.73089017288,0.03017241321504116,0.012924844399094582,0.0
6,4.0495195388793945,47108.35202419059,190766.1919663685,0.03735632076859474,0.012924844399094582,0.0
7,4.0388360023498535,47112.75884845061,190280.70660714895,0.038074713200330734,0.011488750576972961,0.0
8,4.031355381011963,47117.46092993661,189947.22965952088,0.035919539630413055,0.012446146458387375,0.0
9,4.021030426025391,47122.37641874899,189480.50932641106,0.03663793206214905,0.010052656754851341,0.0
10,4.0074238777160645,47127.52266791172,188859.95963699452,0.035919539630413055,0.007659167051315308,0.0
100,1.915732741355896,47348.51618387445,90707.10270806782,0.5553160905838013,0.0009573958814144135,12252.2578125
200,0.01638631895184517,47928.1540253657,785.3660186328043,1.0,0.0023934897035360336,102173.9921875
