step,V,C,K_est,acc_train,acc_test,penalty
1,5.0106329917907715,54166.2789059442,271407.3441286645,0.00835509138381201,0.00839020024611254,0.0
2,4.888705253601074,54167.049547340896,264806.7396941551,0.012532637075718016,0.00894954692918671,0.0
3,4.768739700317383,54169.523022248264,258320.35498345175,0.011227154046997388,0.006600290860275198,0.0
4,4.750336647033691,54172.774280861544,257338.91493786083,0.010443864229765013,0.006376552187045531,0.0
5,4.733386516571045,54176.56051877889,256438.6010737832,0.013838120104438642,0.006152813513815863,0.0
6,4.720644474029541,54180.80011004972,255768.29463800535,0.016971279373368148,0.008837677592571876,0.0
7,4.711799144744873,54185.42333196211,255310.83131317797,0.013838120104438642,0.005705336167356527,0.0
8,4.705709934234619,54190.39389260407,255004.274880514,0.015665796344647518,0.006264682850430697,0.0
9,4.701161861419678,54195.67651903999,254782.64750514875,0.017493472584856395,0.005593466830741693,0.0
10,4.697092533111572,54201.254895621154,254588.30965549918,0.021409921671018278,0.005929074840586196,0.0
100,2.918233871459961,54458.98695847888,158924.06034762936,0.27154046997389036,0.0003356080098445016,0.0
200,0.17263641953468323,55395.94277131591,9563.357216788196,0.9992167101827676,0.0005593466830741693,0.9306601881980896
300,0.024449007585644722,55643.086293552406,1360.4182388797467,1.0,0.0004474773464593355,0.9901362061500549
400,0.008772575296461582,55942.69489655155,490.7615032669755,1.0,0.0006712160196890032,0.9964417219161987
500,3.710465431213379,57065.521751600056,211739.64577346714,0.17571801566579634,0.00201364805906701,0.0
600,0.0212152898311615,58174.81103779102,1234.1954770397895,1.0,0.0005593466830741693,0.9910513758659363
700,0.00390714593231678,58542.061316420644,228.73237674189244,1.0,0.003691688108289518,0.9983415603637695
800,0.002402012702077627,58872.69645514971,141.41296469083008,1.0,0.004810381474437857,0.9989746809005737
900,0.00039383271359838545,58944.72794756119,23.21436215990661,1.0,0.008502069582727374,0.9998316764831543
1000,0.00013990423758514225,58975.21968327854,8.250883146205359,1.0,0.011410672334713054,0.9999401569366455
1100,7.770813681418076e-05,58992.992060362696,4.584235498104544,1.0,0.013424320393780064,0.9999667406082153
1200,5.1479855756042525e-05,59005.71104781591,3.0376054935242878,1.0,0.014543013759928404,0.9999779462814331
1300,3.754618956008926e-05,59015.70261929444,2.215814757565885,1.0,0.015997315135921245,0.9999839067459106
1400,2.8910961191286333e-05,59024.00081149114,1.7064405968154734,1.0,0.017451616511914084,0.9999876022338867
1500,2.308110924786888e-05,59031.15281276207,1.3625044870990037,1.0,0.018458440541447588,0.9999901056289673
1600,1.8928954887087457e-05,59037.466499846916,1.1175175400235393,1.0,0.01935339523436626,0.9999918937683105
1700,1.5841138520045206e-05,59043.14179669153,0.9353105878600614,1.0,0.0204720886005146,0.9999932050704956
1800,1.3467523785948288e-05,59048.31139078523,0.7952345381754813,1.0,0.021478912630048103,0.9999942183494568
1900,1.1592735063459259e-05,59053.07121091869,0.6845866092317736,1.0,0.022038259313122272,0.9999950528144836
2000,1.0087515875056852e-05,59057.49298508459,0.5957433980280994,1.0,0.02282134466942611,0.9999957084655762
2100,8.850558515405282e-06,59061.63181925084,0.522728428431602,1.0,0.023268822015885447,0.9999961853027344
2200,7.819271559128538e-06,59065.5240569113,0.461849372383229,1.0,0.023828168698959616,0.9999966621398926
2300,6.9508596425293945e-06,59069.21191533218,0.41058180121829885,1.0,0.02449938471864862,0.9999970197677612
2400,6.2099034039420076e-06,59072.71870994799,0.36683587699701475,1.0,0.02539433941156729,0.9999973177909851
