step,V,C,K_est,acc_train,acc_test,penalty
1,5.0106329917907715,54166.2789059442,271407.3441286645,0.00835509138381201,0.00839020024611254,0.0
2,4.888632297515869,54156.21452601958,264749.8194430974,0.012532637075718016,0.00894954692918671,0.0
3,4.768701076507568,54147.85762950254,258214.94696838732,0.011227154046997388,0.006600290860275198,0.0
4,4.750308036804199,54140.27556675678,257182.98613955878,0.010443864229765013,0.006376552187045531,0.0
5,4.7333760261535645,54133.234658789734,256232.95515206055,0.013838120104438642,0.006152813513815863,0.0
6,4.720643997192383,54126.64368281461,255512.6155894498,0.016971279373368148,0.008837677592571876,0.0
7,4.71181583404541,54120.44147892532,255005.55310592832,0.013838120104438642,0.005705336167356527,0.0
8,4.7057390213012695,54114.58617956241,254649.1198067372,0.015665796344647518,0.006264682850430697,0.0
9,4.701203346252441,54109.04251745163,254377.61174555923,0.017493472584856395,0.00548159749412686,0.0
10,4.697150230407715,54103.79391643137,254133.64806049713,0.021409921671018278,0.005929074840586196,0.0
100,2.9314844608306885,53396.8401428883,156532.00713633737,0.26475195822454306,0.00022373867322966775,0.0
200,0.1735205203294754,53294.01276780899,9247.604825915922,0.9994778067885117,0.0004474773464593355,0.9329496026039124
300,0.014356744475662708,52874.53283620845,759.1061571994821,1.0,0.0015661707126076742,0.9944960474967957
400,0.00017096077499445528,52321.83878646068,8.944982108068267,1.0,0.020136480590670098,0.9999351501464844
500,5.5668471759418026e-05,51348.87695961431,2.8585135069041203,1.0,0.03490323302382817,0.9999792575836182
600,3.5234119422966614e-05,50370.1187904436,1.7747467808115045,1.0,0.04664951336838573,0.9999871253967285
700,2.6732161131803878e-05,49404.372315247485,1.3206856413468264,1.0,0.05403288958496476,0.9999904036521912
800,2.211466198787093e-05,48454.98403364337,1.0715655935317059,1.0,0.05861953238617295,0.9999922513961792
900,1.921529656101484e-05,47522.95150069991,0.913167606540674,1.0,0.06756907931535966,0.9999933838844299
1000,1.7229960576514713e-05,46608.48803806661,0.8030624114268452,1.0,0.07506432486855354,0.999994158744812
1100,1.5794619685038924e-05,45711.50926663694,0.7219959040956629,1.0,0.0832307864414364,0.9999947547912598
