step,V,C_rank,K,acc_train,acc_test,lambda,gate_mean
1,4.939005374908447,30.458060109355454,150.43252258939117,0.008877284824848175,0.007607114966958761,0.0,0.46235918005307514
2,4.817054748535156,30.37054277700316,146.29656729955315,0.009660574607551098,0.00861393939703703,0.0,0.45580752690633136
3,4.769735813140869,29.909044293484836,142.65823970345116,0.009660574607551098,0.008837677538394928,0.0,0.45735710859298706
4,4.749926567077637,29.221395713754916,138.79948382785307,0.009921670891344547,0.00861393939703703,0.0,0.45780478914578754
5,4.7357025146484375,28.61331856991181,135.5041647039682,0.013315927237272263,0.00805459264665842,0.0,0.45103610555330914
6,4.7234721183776855,28.100948142414747,132.73404505067327,0.01070496067404747,0.006712160538882017,0.0,0.43951812386512756
7,4.713618278503418,27.66459202105665,130.40032661779244,0.015143603086471558,0.006040944252163172,0.0,0.42578186591466266
8,4.706112384796143,27.284309261821075,128.40302572766427,0.0174934733659029,0.005705336108803749,0.0,0.41160813967386883
9,4.699787139892578,26.932100165136436,126.575138006407,0.0180156659334898,0.005369728431105614,0.0,0.39787320295969647
10,4.693249225616455,26.58456487110987,124.7679884946868,0.016449086368083954,0.006264682859182358,0.0,0.3849771022796631
100,0.11558029800653458,20.844037531517774,2.4091600695522155,1.0,0.01219375804066658,0.0,0.6616136829058329
200,0.010542209260165691,20.93144157146903,0.2206636371633579,1.0,0.016332924365997314,0.0,0.673556407292684
300,0.005254566203802824,20.941493193990503,0.11003846239430935,1.0,0.018794048577547073,0.0,0.6766197482744852
400,0.003371551865711808,20.931698349337232,0.07057230662222472,1.0,0.020695827901363373,0.0,0.6784111261367798
500,0.0024474505335092545,20.90851582246912,0.051172558204588735,1.0,0.021926390007138252,0.0,0.6796141266822815
600,0.0019114107126370072,20.87990504210521,0.03991007417632336,1.0,0.02360443025827408,0.0,0.6804851094881693
700,0.001565959071740508,20.847592527932736,0.0326464766430659,1.0,0.025506209582090378,0.0,0.6811483899752299
800,0.0013264092849567533,20.812053219209563,0.02760530062897365,1.0,0.025170601904392242,0.0,0.6816730300585429
900,0.0011510131880640984,20.77388128696326,0.023911011328572696,1.0,0.025841817259788513,0.0,0.6821006337801615
1000,0.0010170572204515338,20.73326380047496,0.021086915651799466,1.0,0.026401164010167122,0.0,0.6824572483698527
1100,0.0009112167754210532,20.69011015800164,0.01885317546128063,1.0,0.02696051076054573,0.0,0.682759702205658
1200,0.0008252589614130557,20.643965547509552,0.017036617567184636,1.0,0.027631726115942,0.0,0.6830185850461324
1300,0.0007538158679381013,20.594761889635052,0.015524658308813779,1.0,0.02751985751092434,0.0,0.6832399169603983
1400,0.0006932854885235429,20.543012433453857,0.014242172410672273,1.0,0.027743596583604813,0.0,0.6834271748860677
1500,0.0006411616341210902,20.489116996685663,0.013136835735293183,1.0,0.027631726115942,0.0,0.6835815906524658
1600,0.0005956515087746084,20.43337154642119,0.012171168590977933,1.0,0.028974158689379692,0.0,0.683703084786733
1700,0.0005554492818191648,20.375887802332734,0.011317772246233596,1.0,0.02875041961669922,0.0,0.6837906837463379
1800,0.000519575725775212,20.316651917319195,0.010556039165263474,1.0,0.029086029157042503,0.0,0.683843195438385
1900,0.00048729017726145685,20.255839182599836,0.009870471465868638,1.0,0.03020472265779972,0.0,0.6838592092196146
2000,0.00045802121167071164,20.19347933454457,0.00924904187265558,1.0,0.030428459867835045,0.0,0.6838380694389343
2100,0.00043130843550898135,20.129662424320795,0.008682093207557732,1.0,0.0314352847635746,0.0,0.6837791204452515
2200,0.0004067971312906593,20.06490318495555,0.008162345055264732,1.0,0.03210650011897087,0.0,0.6836825211842855
2300,0.00038420449709519744,19.99920949905546,0.007683786227886099,1.0,0.03210650011897087,0.0,0.6835490663846334
2400,0.0003632809384725988,19.932729467782256,0.007241180667376362,1.0,0.03210650011897087,0.0,0.6833795309066772
2500,0.0003438384737819433,19.86575707561,0.006830611593400583,1.0,0.03266584873199463,0.0,0.6831757426261902
2600,0.00032571301562711596,19.798383451367474,0.0064485911784868885,1.0,0.03412014991044998,0.0,0.6829394300778707
2700,0.0003087670193053782,19.730747636177657,0.006092204136289212,1.0,0.0352388434112072,0.0,0.682672401269277
2800,0.00029288133373484015,19.662912684657652,0.005758900092194239,1.0,0.03602192923426628,0.0,0.6823769410451254
2900,0.0002779620117507875,19.594990520456594,0.0054466629853037254,1.0,0.03658127412199974,0.0,0.6820549170176188
3000,0.0002639160375110805,19.527056306947706,0.005153503324785392,1.0,0.03702875226736069,0.0,0.6817088723182678
3100,0.000250677258009091,19.459168224675917,0.00487797093369939,1.0,0.03758809715509415,0.0,0.6813406546910604
3200,0.0002381772646913305,19.391455414225252,0.004618603808944062,1.0,0.03825931251049042,0.0,0.6809524099032084
3300,0.00022635918867308646,19.323776209153824,0.00437411430480435,1.0,0.03848305344581604,0.0,0.6805460254351298
3400,0.00021517020650207996,19.25636157489277,0.0041433952965483955,1.0,0.03893053159117699,0.0,0.6801233092943827
3500,0.00020457332720980048,19.18916896290763,0.00392559214113305,1.0,0.039489876478910446,0.0,0.6796852548917135
3600,0.00019452269771136343,19.122197558570324,0.003719701455262747,1.0,0.040049225091934204,0.0,0.6792337497075399
3700,0.00018498595454730093,19.055558966069142,0.0035250107647706794,1.0,0.041391655802726746,0.0,0.6787697474161783
3800,4.676774501800537,6.131100442208388,28.673774216098188,0.011227154172956944,0.007830853573977947,0.0,0.31720812649776536
3900,0.9958235025405884,7.2063549788633,7.176257655602459,0.842558741569519,0.0014543014112859964,0.0,0.4785042405128479
4000,0.01774611324071884,7.551332606221971,0.13400680354834762,1.0,0.002125517465174198,0.0,0.5185978710651398
4100,0.007568656001240015,7.589948830456456,0.057445711764738894,1.0,0.002461125375702977,0.0,0.5332652529080709
4200,0.0047619580291211605,7.615228098354984,0.03626339658655058,1.0,0.003132341429591179,0.0,0.5412946740786234
4300,0.0034872672986239195,7.63511048836874,0.02662567112746881,1.0,0.0035798188764601946,0.0,0.5470412373542786
4400,0.0027696385513991117,7.652036170200129,0.021193374373686694,1.0,0.003915426786988974,0.0,0.5516331891218821
4500,0.0023120029363781214,7.667270841150239,0.0177267526987457,1.0,0.0035798188764601946,0.0,0.555533359448115
4600,0.0019948838744312525,7.681420977649124,0.015323542841030182,1.0,0.0032442109659314156,0.0,0.5589825312296549
4700,0.0017610916402190924,7.694815728512795,0.013551275652510268,1.0,0.0033560802694410086,0.0,0.5621242423852285
4800,0.0015803456772118807,7.707741576635292,0.01218089608170187,1.0,0.0036916881799697876,0.0,0.5650414029757181
4900,0.0014352418947964907,7.720288946014362,0.011080482135254055,1.0,0.0036916881799697876,0.0,0.5677887896696726
5000,0.0013150956947356462,7.732611962323266,0.010169124700712684,1.0,0.004362904466688633,0.0,0.570400228103002
5100,0.001213123556226492,7.74479381057308,0.009395391809723338,1.0,0.004810381680727005,0.0,0.5728960732618967
5200,0.0011248451191931963,7.756828555043912,0.008725230740559557,1.0,0.004586643073707819,0.0,0.5752902229626974
5300,0.0010472115827724338,7.7687517814208045,0.008135526849187846,1.0,0.004810381680727005,0.0,0.5775946577390035
5400,0.0009780640248209238,7.780665271331001,0.007609988791062384,1.0,0.004922250751405954,0.0,0.5798255403836569
5500,0.0009157562744803727,7.792483633115963,0.007136015780811553,1.0,0.005145989824086428,0.0,0.5820094645023346
5600,0.000859435589518398,7.804182925024446,0.006707192552877801,1.0,0.004922250751405954,0.0,0.5841343700885773
5700,0.0008080169791355729,7.815820192265766,0.006315315421221397,1.0,0.004922250751405954,0.0,0.5862173736095428
5800,0.000760711613111198,7.827295530463889,0.005954314609277255,1.0,0.004922250751405954,0.0,0.5882694721221924
5900,0.0007169416639953852,7.8386030111922,0.005619821086243372,1.0,0.004922250751405954,0.0,0.5902936855951945
6000,0.0006762679549865425,7.84972114700678,0.005308514867300891,1.0,0.004922250751405954,0.0,0.5922887027263641
6100,0.0006383458967320621,7.860586687505534,0.00501777325787583,1.0,0.005257858894765377,0.0,0.5942500730355581
6200,0.0006028892239555717,7.87129688044956,0.004745520067778147,1.0,0.005145989824086428,0.0,0.5961725016434988
6300,0.0005696739535778761,7.881683968467482,0.004489990067168235,1.0,0.004922250751405954,0.0,0.5980514685312907
6400,0.0005385153344832361,7.8918362692985475,0.0042498748482482415,1.0,0.005034120287746191,0.0,0.5998837153116862
6500,0.0005092608043923974,7.901705062712811,0.004024028676308605,1.0,0.005145989824086428,0.0,0.6016684770584106
6600,0.00048177229473367333,7.911263592843029,0.003811427615366951,1.0,0.005257858894765377,0.0,0.6034051477909088
6700,0.0004559252120088786,7.920469326924692,0.0036111416570879604,1.0,0.005369728431105614,0.0,0.6050931314627329
6800,0.00043160791392438114,7.929403855177924,0.003422393456597289,1.0,0.005257858894765377,0.0,0.6067307790120443
6900,0.00040870302473194897,7.937949857609516,0.003244264116975553,1.0,0.005257858894765377,0.0,0.6083169182141622
7000,0.0003871179651468992,7.946260325208669,0.003076140127622318,1.0,0.0055934670381248,0.0,0.6098499894142151
7100,0.0003667609125841409,7.954140108710097,0.0029172676850926327,1.0,0.005705336108803749,0.0,0.6113287806510925
7200,0.0003475487174000591,7.961724931957665,0.0027670872883939594,1.0,0.005817205645143986,0.0,0.6127520700295767
7300,0.00032941074459813535,7.968991068117798,0.0026250712814445735,1.0,0.0055934670381248,0.0,0.6141185859839121
7400,0.0003122684720437974,7.975911667323106,0.0024906257495112827,1.0,0.005481597501784563,0.0,0.6154280304908752
7500,0.00029606386669911444,7.982514674373943,0.0023633341604775717,1.0,0.005369728431105614,0.0,0.6166796584924062
7600,0.0002807335404213518,7.988748794718348,0.0022427097326780886,1.0,0.005481597501784563,0.0,0.6178746918837229
7700,0.00026622385485097766,7.994614385232227,0.0021283570596836022,1.0,0.006040944252163172,0.0,0.6190136075019836
7800,0.00025248495512641966,8.000132195755521,0.0020199130184507578,1.0,0.006488421931862831,0.0,0.6200981140136719
7900,0.0002394715993432328,8.0052129183329,0.0019170211406362876,1.0,0.0063765523955225945,0.0,0.6211300293604533
8000,0.00022714694205205888,8.009967588029053,0.001819439643556905,1.0,0.0068240296095609665,0.0,0.6221110125382742
8100,4.351383209228516,5.943150285483716,25.8609243621755,0.05979112163186073,0.004810381680727005,0.0,0.21105446914831796
8200,0.0515955351293087,6.7424346921314475,0.34787952601493777,1.0,0.0055934670381248,0.0,0.3165634175141652
8300,0.010666406713426113,6.793889067136969,0.07246638395598204,1.0,0.007830853573977947,0.0,0.3413841376701991
8400,0.00579236401244998,6.811680501748494,0.0394557330026352,1.0,0.008166462182998657,0.0,0.3519490510225296
8500,0.003973673563450575,6.823531321436191,0.027114486021367956,1.0,0.00861393939703703,0.0,0.35895996789137524
8600,0.0030488071497529745,6.832785320523083,0.020831844737937946,1.0,0.00861393939703703,0.0,0.36442045867443085
8700,0.0024960036389529705,6.840496158150454,0.01707390330298735,1.0,0.008725808933377266,0.0,0.3690497428178787
8800,0.0021301747765392065,6.847360645787857,0.014586074933524505,1.0,0.009173286147415638,0.0,0.3731744686762492
8900,0.001870218082331121,6.853575238341465,0.01281768033936303,1.0,0.009061416611075401,0.0,0.3769698937733968
9000,0.0016755415126681328,6.859338195769137,0.01149310589644132,1.0,0.0092851547524333,0.0,0.38053831458091736
9100,0.0015234340680763125,6.86479097363913,0.01045805643946461,1.0,0.009844501502811909,0.0,0.38393614689509076
9200,0.001400431152433157,6.869981666264763,0.009620936342081821,1.0,0.009732632897794247,0.0,0.38720376292864483
9300,0.0012981024337932467,6.8749557351091175,0.008924396771965985,1.0,0.009732632897794247,0.0,0.3903701603412628
9400,0.001210937974974513,6.879762569365927,0.008330965754053428,1.0,0.009508893825113773,0.0,0.39345743258794147
9500,0.0011352011933922768,6.88448097062697,0.007815271013742155,1.0,0.009844501502811909,0.0,0.39648280044396716
9600,0.001068303594365716,6.889059660186431,0.007359607196777022,1.0,0.009844501502811909,0.0,0.39945997794469196
9700,0.0010083946399390697,6.893586639880628,0.0069514558176112075,1.0,0.009956371039152145,0.0,0.4023999323447545
9800,0.0009541118051856756,6.897971069597904,0.0065814356293326225,1.0,0.010180110111832619,0.0,0.4053105761607488
9900,0.0009044549660757184,6.902305690173179,0.006242824658849821,1.0,0.010291979648172855,0.0,0.40819787979125977
10000,0.0008586355252191424,6.906576809013286,0.005930232205873472,1.0,0.010068240575492382,0.0,0.4110646943251292
10100,0.0008160679717548192,6.910793086795115,0.005639676897558115,1.0,0.010068240575492382,0.0,0.4139123608668645
10200,0.000776277098339051,6.914827968536072,0.0053678225909288965,1.0,0.010180110111832619,0.0,0.41674062112967175
10300,0.0007388897938653827,6.9188993242719565,0.005112304095486642,1.0,0.009844501502811909,0.0,0.4195476869742076
10400,0.000703599420376122,6.9228287906543535,0.004870898324467533,1.0,0.009844501502811909,0.0,0.4223316510518392
10500,0.0006701616221107543,6.926665444822869,0.0046419853503210035,1.0,0.010180110111832619,0.0,0.4250900447368622
10600,0.0006383756990544498,6.930381482975635,0.004424187123908585,1.0,0.01062758732587099,0.0,0.42782066265741986
10700,0.0006080842576920986,6.9339815147490365,0.0042164450022469015,1.0,0.010739456862211227,0.0,0.43052124977111816
10800,0.0005791558069176972,6.937448556105511,0.0040178636164613,1.0,0.010851326398551464,0.0,0.433189461628596
10900,0.0005514865624718368,6.940788549457939,0.003827751617984445,1.0,0.01062758732587099,0.0,0.435823529958725
11000,0.0005249939858913422,6.943925905855215,0.003645519339049078,1.0,0.010403848253190517,0.0,0.4384217659632365
11100,0.0004996043280698359,6.946966317822335,0.00347073443933941,1.0,0.010180110111832619,0.0,0.44098257025082904
11200,0.0004752584791276604,6.949837270392794,0.00330296909131161,1.0,0.010739456862211227,0.0,0.44350438316663104
11300,0.00045191397657617927,6.952533199479854,0.0031419469254548474,1.0,0.011522541753947735,0.0,0.44598626097043353
11400,0.0004295282706152648,6.955077886840655,0.0029874025767291368,1.0,0.011522541753947735,0.0,0.4484269122282664
11500,0.00040807126788422465,6.9574431158225485,0.0028391326335060777,1.0,0.011858150362968445,0.0,0.45082566142082214
11600,0.0003875101392623037,6.959629027454132,0.002696926813642722,1.0,0.011858150362968445,0.0,0.4531817138195038
11700,0.00036782462848350406,6.961668915175293,0.002560673282349511,1.0,0.012081888504326344,0.0,0.4554944535096486
11800,0.10361263155937195,6.365403537643941,0.6595362114726244,1.0,0.008949547074735165,0.0,0.3508748263120651
11900,0.01475447602570057,6.4500067119169975,0.0951664693965871,1.0,0.012305627577006817,0.0,0.36577077706654865
12000,0.00832724291831255,6.475981980933651,0.05392707508984942,1.0,0.012864974327385426,0.0,0.3729107280572255
