step,train_loss,val_loss,val_ppl,val_top1
1,10.2226,10.2253,27593.07,0.0000
2,10.2124,10.2173,27373.73,0.0000
3,10.2048,10.2053,27045.82,0.0000
4,10.2084,10.1891,26611.22,0.0001
5,10.1915,10.1690,26080.92,0.0001
6,10.1707,10.1450,25462.93,0.0003
7,10.1437,10.1174,24769.79,0.0014
8,10.1153,10.0864,24013.69,0.0052
9,10.0907,10.0520,23202.52,0.0142
10,10.0527,10.0144,22345.75,0.0264
11,10.0049,9.9734,21449.20,0.0388
12,9.9832,9.9301,20538.74,0.0499
13,9.9358,9.8847,19627.61,0.0606
14,9.8738,9.8372,18717.45,0.0686
15,9.8550,9.7886,17828.79,0.0735
16,9.7644,9.7383,16955.03,0.0772
17,9.7388,9.6873,16111.60,0.0805
18,9.6857,9.6347,15286.79,0.0836
19,9.6105,9.5808,14484.36,0.0871
20,9.5415,9.5246,13692.88,0.0912
21,9.5204,9.4656,12907.41,0.0959
22,9.4760,9.4026,12119.83,0.1007
23,9.4287,9.3344,11320.78,0.1057
24,9.3224,9.2590,10498.36,0.1113
25,9.2230,9.1741,9644.54,0.1174
26,9.2198,9.0804,8781.62,0.1230
27,9.0716,8.9823,7960.91,0.1263
28,8.9511,8.8857,7228.23,0.1265
29,8.8491,8.7851,6536.22,0.1268
30,8.8444,8.6760,5860.81,0.1307
31,8.6288,8.5739,5291.95,0.1348
32,8.4949,8.4781,4808.27,0.1383
33,8.5552,8.3811,4363.60,0.1393
34,8.2903,8.2893,3981.12,0.1395
35,8.0428,8.1984,3634.95,0.1437
36,8.1018,8.1070,3317.48,0.1486
37,8.1153,8.0192,3038.66,0.1512
38,7.8040,7.9343,2791.44,0.1527
39,7.8507,7.8552,2579.14,0.1536
40,7.8472,7.7720,2373.27,0.1560
41,7.7899,7.6948,2196.79,0.1573
42,7.6028,7.6208,2040.23,0.1577
43,7.6789,7.5430,1887.44,0.1586
44,7.4331,7.4634,1743.03,0.1594
45,7.2365,7.3889,1617.93,0.1591
46,7.2776,7.3205,1511.00,0.1591
47,7.1299,7.2492,1406.92,0.1597
48,7.1663,7.1812,1314.51,0.1603
49,7.1091,7.1151,1230.38,0.1612
50,6.9070,7.0519,1155.00,0.1617
51,7.0148,6.9945,1090.58,0.1621
52,6.9585,6.9346,1027.17,0.1620
53,6.9593,6.8823,974.91,0.1618
54,6.9189,6.8387,933.31,0.1617
55,6.8045,6.7899,888.84,0.1624
56,6.7497,6.7475,851.91,0.1629
57,6.6698,6.7106,821.10,0.1629
58,6.6578,6.6740,791.52,0.1631
59,6.5205,6.6398,764.95,0.1630
60,6.4931,6.6108,743.06,0.1631
61,6.4813,6.5843,723.65,0.1632
62,6.5378,6.5575,704.53,0.1636
63,6.5582,6.5305,685.76,0.1636
64,6.6511,6.5071,669.88,0.1636
65,6.5013,6.4883,657.40,0.1636
66,6.2034,6.4701,645.52,0.1636
67,6.2980,6.4534,634.83,0.1636
68,6.3442,6.4388,625.62,0.1635
69,6.6165,6.4237,616.30,0.1639
70,6.4306,6.4111,608.58,0.1643
71,6.1261,6.3992,601.38,0.1648
72,6.4866,6.3878,594.56,0.1655
73,6.2120,6.3762,587.66,0.1661
74,6.4070,6.3678,582.78,0.1661
75,6.1469,6.3593,577.82,0.1666
76,6.4340,6.3506,572.84,0.1677
77,6.3579,6.3421,567.97,0.1686
78,6.3085,6.3336,563.19,0.1691
79,6.0927,6.3273,559.66,0.1690
80,6.4511,6.3218,556.58,0.1690
81,6.6281,6.3159,553.32,0.1694
82,6.1998,6.3138,552.13,0.1695
83,6.3280,6.3100,550.05,0.1694
84,6.2480,6.3028,546.08,0.1694
85,6.3831,6.2979,543.41,0.1692
86,6.1489,6.2933,540.96,0.1695
87,6.2318,6.2877,537.90,0.1699
88,6.2931,6.2838,535.82,0.1705
89,6.1662,6.2839,535.86,0.1699
90,6.3097,6.2767,532.03,0.1708
91,6.4149,6.2746,530.93,0.1702
92,6.1420,6.2756,531.42,0.1686
93,6.1102,6.2629,524.72,0.1696
94,6.2936,6.2649,525.77,0.1698
95,6.2675,6.2682,527.55,0.1698
96,6.4000,6.2655,526.10,0.1702
97,6.2752,6.2578,522.06,0.1701
98,6.1100,6.2540,520.07,0.1697
99,6.2659,6.2519,518.98,0.1697
100,6.1248,6.2464,516.15,0.1699
200,5.9905,5.9517,384.40,0.1931
400,5.4890,5.3931,219.88,0.2331
600,4.8034,5.0352,153.74,0.2534
800,4.6896,4.8247,124.55,0.2675
1000,4.4938,4.6469,104.26,0.2809
