step,train_loss,val_loss,val_ppl,val_top1
1,10.1974,10.1874,26565.39,0.0000
2,10.1923,10.1806,26386.90,0.0000
3,10.1777,10.1706,26124.56,0.0000
4,10.1575,10.1574,25782.30,0.0001
5,10.1675,10.1411,25363.47,0.0001
6,10.1588,10.1213,24867.17,0.0005
7,10.1224,10.0984,24303.43,0.0017
8,10.1019,10.0722,23676.07,0.0058
9,10.0638,10.0429,22991.02,0.0156
10,10.0765,10.0115,22281.30,0.0292
11,10.0070,9.9775,21536.97,0.0428
12,9.9858,9.9416,20776.11,0.0535
13,9.9658,9.9040,20010.95,0.0624
14,9.9451,9.8656,19256.19,0.0692
15,9.9058,9.8261,18510.12,0.0735
16,9.8323,9.7852,17769.63,0.0766
17,9.7819,9.7434,17040.81,0.0789
18,9.7837,9.7011,16335.79,0.0811
19,9.6935,9.6580,15646.02,0.0833
20,9.6622,9.6142,14976.67,0.0861
21,9.6661,9.5700,14328.27,0.0895
22,9.5745,9.5244,13690.24,0.0930
23,9.5289,9.4771,13057.50,0.0965
24,9.4466,9.4269,12417.80,0.0997
25,9.3102,9.3732,11768.22,0.1028
26,9.4058,9.3150,11103.29,0.1058
27,9.2395,9.2501,10405.26,0.1091
28,9.2118,9.1768,9670.12,0.1123
29,9.2002,9.0943,8904.13,0.1153
30,9.1876,9.0026,8123.94,0.1174
31,8.9807,8.9029,7353.44,0.1181
32,8.9069,8.7955,6604.41,0.1177
33,8.7829,8.6753,5856.70,0.1168
34,8.7067,8.5594,5215.69,0.1170
35,8.5713,8.4586,4715.33,0.1184
36,8.4187,8.3525,4240.73,0.1222
37,8.3767,8.2382,3782.55,0.1308
38,8.0723,8.1469,3452.82,0.1366
39,7.9850,8.0503,3134.76,0.1389
40,8.0271,7.9501,2835.93,0.1449
41,7.8037,7.8745,2629.41,0.1487
42,7.9215,7.7850,2404.24,0.1535
43,7.7175,7.6999,2208.11,0.1567
44,7.6714,7.6278,2054.43,0.1583
45,7.6568,7.5363,1874.85,0.1586
46,7.4001,7.4559,1730.09,0.1582
47,7.3614,7.3862,1613.53,0.1581
48,7.4004,7.3086,1493.15,0.1586
49,7.4018,7.2372,1390.19,0.1593
50,7.0545,7.1658,1294.44,0.1602
51,6.9122,7.0988,1210.47,0.1607
52,7.1629,7.0409,1142.40,0.1612
53,7.0089,6.9821,1077.20,0.1623
54,6.8623,6.9295,1022.01,0.1627
55,6.6986,6.8822,974.74,0.1625
56,6.8243,6.8344,929.28,0.1627
57,6.7924,6.7906,889.42,0.1627
58,6.7304,6.7507,854.61,0.1629
59,6.5765,6.7123,822.47,0.1631
60,6.5711,6.6772,794.11,0.1631
61,6.5892,6.6457,769.45,0.1627
62,6.5236,6.6189,749.15,0.1620
63,6.5365,6.5911,728.62,0.1619
64,6.6864,6.5655,710.15,0.1621
65,6.6229,6.5418,693.56,0.1630
66,6.4325,6.5208,679.15,0.1641
67,6.6928,6.5032,667.25,0.1650
68,6.5063,6.4881,657.28,0.1651
69,6.6786,6.4727,647.23,0.1648
70,6.4172,6.4567,636.98,0.1647
71,6.3999,6.4432,628.39,0.1647
72,6.3871,6.4322,621.54,0.1651
73,6.3931,6.4210,614.61,0.1655
74,6.2137,6.4095,607.61,0.1655
75,6.3736,6.3990,601.24,0.1651
76,6.4517,6.3896,595.62,0.1642
77,6.6633,6.3818,590.98,0.1639
78,6.4530,6.3724,585.47,0.1648
79,6.3390,6.3647,580.97,0.1656
80,6.2299,6.3588,577.55,0.1660
81,6.2280,6.3538,574.64,0.1662
82,6.1237,6.3475,571.09,0.1668
83,6.3779,6.3389,566.17,0.1675
84,6.2189,6.3326,562.62,0.1679
85,6.3376,6.3279,559.96,0.1682
86,6.5333,6.3230,557.25,0.1684
87,6.3526,6.3177,554.29,0.1690
88,6.4623,6.3127,551.51,0.1697
89,6.3473,6.3098,549.93,0.1699
90,6.3138,6.3076,548.70,0.1700
91,6.3515,6.3032,546.32,0.1700
92,6.2353,6.2967,542.79,0.1704
93,6.2535,6.2902,539.26,0.1706
94,6.1961,6.2856,536.78,0.1706
95,6.2399,6.2828,535.30,0.1701
96,6.4038,6.2810,534.34,0.1697
97,6.2010,6.2768,532.08,0.1697
98,6.2096,6.2747,530.94,0.1696
99,6.3522,6.2714,529.20,0.1699
100,6.1397,6.2677,527.27,0.1705
200,5.9221,5.9592,387.29,0.1940
400,5.3605,5.4212,226.14,0.2323
600,4.8974,5.0468,155.52,0.2531
800,4.6893,4.8263,124.75,0.2689
1000,4.6398,4.6587,105.50,0.2798
