step,train_loss,val_loss,val_ppl,val_top1
1,10.1971,10.1754,26248.75,0.0000
2,10.1667,10.1697,26101.25,0.0000
3,10.1693,10.1612,25880.46,0.0001
4,10.1594,10.1500,25591.83,0.0002
5,10.1651,10.1359,25232.30,0.0002
6,10.1288,10.1189,24806.25,0.0003
7,10.1168,10.0990,24318.99,0.0006
8,10.1097,10.0765,23776.89,0.0012
9,10.0827,10.0509,23176.28,0.0020
10,10.0638,10.0224,22526.44,0.0042
11,10.0309,9.9910,21828.33,0.0101
12,10.0025,9.9564,21087.09,0.0210
13,9.9589,9.9183,20297.58,0.0384
14,9.9400,9.8765,19467.88,0.0577
15,9.8835,9.8308,18598.44,0.0712
16,9.8173,9.7808,17690.79,0.0781
17,9.7531,9.7261,16749.80,0.0810
18,9.7071,9.6665,15780.23,0.0837
19,9.6477,9.6011,14781.35,0.0880
20,9.5843,9.5295,13759.42,0.0946
21,9.4911,9.4509,12719.15,0.1023
22,9.3683,9.3663,11687.89,0.1114
23,9.2472,9.2765,10684.03,0.1194
24,9.2948,9.1827,9727.38,0.1237
25,9.1004,9.0871,8840.34,0.1241
26,9.0493,8.9925,8042.60,0.1228
27,8.9780,8.9023,7348.68,0.1199
28,8.7877,8.8175,6751.19,0.1166
29,8.7541,8.7367,6227.45,0.1141
30,8.7374,8.6596,5765.05,0.1121
31,8.5815,8.5850,5350.83,0.1103
32,8.5457,8.5091,4959.88,0.1099
33,8.3124,8.4328,4595.48,0.1096
34,8.3778,8.3529,4242.45,0.1109
35,8.4734,8.2689,3900.63,0.1154
36,8.3551,8.1814,3573.86,0.1262
37,8.1318,8.0929,3271.13,0.1367
38,8.0439,8.0046,2994.74,0.1407
39,7.9856,7.9159,2740.58,0.1415
40,7.9146,7.8270,2507.31,0.1409
41,7.8545,7.7387,2295.41,0.1402
42,7.7636,7.6517,2104.23,0.1398
43,7.5710,7.5660,1931.39,0.1407
44,7.5679,7.4833,1778.17,0.1419
45,7.5645,7.4064,1646.45,0.1425
46,7.4180,7.3360,1534.60,0.1424
47,7.2609,7.2705,1437.25,0.1416
48,7.1541,7.2059,1347.36,0.1415
49,7.0812,7.1419,1263.78,0.1419
50,7.2422,7.0776,1185.17,0.1427
51,7.1290,7.0176,1116.08,0.1430
52,6.9469,6.9622,1055.92,0.1429
53,6.8488,6.9109,1003.10,0.1428
54,6.9814,6.8627,955.96,0.1429
55,6.7024,6.8174,913.58,0.1433
56,6.8293,6.7751,875.76,0.1442
57,6.6829,6.7367,842.80,0.1455
58,6.7182,6.7017,813.81,0.1477
59,6.5091,6.6698,788.26,0.1508
60,6.4916,6.6406,765.53,0.1544
61,6.5860,6.6132,744.88,0.1573
62,6.4928,6.5871,725.65,0.1591
63,6.6083,6.5621,707.74,0.1602
64,6.4955,6.5392,691.75,0.1608
65,6.5453,6.5189,677.81,0.1611
66,6.4606,6.5004,665.42,0.1609
67,6.7156,6.4837,654.40,0.1611
68,6.3792,6.4682,644.35,0.1615
69,6.3499,6.4545,635.58,0.1621
70,6.4856,6.4424,627.92,0.1625
71,6.3951,6.4315,621.10,0.1626
72,6.4564,6.4208,614.47,0.1627
73,6.3186,6.4110,608.49,0.1630
74,6.3705,6.4020,603.07,0.1631
75,6.3645,6.3946,598.62,0.1632
76,6.4623,6.3882,594.76,0.1633
77,6.3036,6.3823,591.29,0.1634
78,6.4906,6.3770,588.18,0.1631
79,6.3372,6.3725,585.53,0.1626
80,6.3828,6.3683,583.08,0.1623
81,6.3023,6.3629,579.94,0.1622
82,6.3862,6.3578,576.98,0.1621
83,6.3711,6.3514,573.31,0.1624
84,6.5096,6.3459,570.12,0.1625
85,6.5302,6.3411,567.44,0.1628
86,6.2624,6.3364,564.76,0.1637
87,6.4236,6.3324,562.49,0.1646
88,6.3411,6.3293,560.75,0.1645
89,6.2950,6.3268,559.34,0.1645
90,6.3520,6.3253,558.51,0.1646
91,6.3043,6.3209,556.06,0.1647
92,6.2865,6.3162,553.44,0.1651
93,6.4153,6.3106,550.38,0.1647
94,6.2400,6.3069,548.32,0.1641
95,6.1915,6.3038,546.66,0.1640
96,6.3123,6.3008,545.02,0.1641
97,6.2483,6.2978,543.35,0.1646
98,6.1866,6.2959,542.34,0.1653
99,6.4714,6.2937,541.16,0.1658
100,6.2441,6.2909,539.64,0.1659
200,5.8800,5.9722,392.37,0.1890
400,5.3935,5.4091,223.44,0.2201
600,4.8437,5.0828,161.23,0.2417
800,4.5760,4.8802,131.66,0.2565
1000,4.6654,4.7192,112.08,0.2715
