step,train_loss,val_loss,val_ppl,val_top1
1,10.1969,10.1890,26607.76,0.0000
2,10.1897,10.1804,26380.62,0.0000
3,10.1799,10.1674,26040.85,0.0000
4,10.1755,10.1502,25597.23,0.0000
5,10.1629,10.1294,25070.25,0.0000
6,10.1301,10.1044,24449.31,0.0000
7,10.0951,10.0756,23756.57,0.0001
8,10.0767,10.0427,22987.63,0.0010
9,10.0525,10.0058,22153.64,0.0038
10,10.0111,9.9649,21266.64,0.0154
11,9.9654,9.9200,20333.04,0.0352
12,9.9367,9.8711,19362.92,0.0560
13,9.8797,9.8185,18371.03,0.0717
14,9.8049,9.7627,17373.81,0.0784
15,9.7393,9.7029,16365.68,0.0817
16,9.7078,9.6384,15342.92,0.0859
17,9.6116,9.5696,14322.53,0.0924
18,9.5144,9.4959,13305.05,0.1018
19,9.5342,9.4178,12305.27,0.1128
20,9.4461,9.3354,11332.57,0.1238
21,9.3248,9.2491,10395.47,0.1301
22,9.1908,9.1598,9507.40,0.1318
23,9.0004,9.0714,8702.86,0.1288
24,9.0605,8.9843,7977.15,0.1246
25,8.9024,8.9015,7342.73,0.1201
26,8.7205,8.8238,6793.98,0.1160
27,8.8478,8.7473,6293.77,0.1148
28,8.7937,8.6726,5840.60,0.1143
29,8.6697,8.5979,5420.09,0.1152
30,8.5130,8.5220,5024.08,0.1177
31,8.4522,8.4442,4648.05,0.1223
32,8.4410,8.3653,4295.42,0.1274
33,8.3079,8.2845,3961.88,0.1327
34,8.2740,8.2015,3646.46,0.1379
35,8.1032,8.1172,3351.52,0.1411
36,8.2017,8.0322,3078.35,0.1429
37,7.9673,7.9469,2826.92,0.1434
38,7.8495,7.8632,2599.73,0.1436
39,7.8443,7.7812,2395.11,0.1435
40,7.5792,7.7018,2212.34,0.1435
41,7.6675,7.6250,2048.87,0.1435
42,7.6067,7.5508,1902.34,0.1437
43,7.4839,7.4796,1771.55,0.1439
44,7.3873,7.4114,1654.74,0.1440
45,7.4361,7.3451,1548.62,0.1441
46,7.1783,7.2805,1451.75,0.1443
47,7.1954,7.2170,1362.33,0.1445
48,7.2414,7.1541,1279.34,0.1447
49,7.0832,7.0926,1202.99,0.1449
50,6.9443,7.0330,1133.44,0.1450
51,6.9788,6.9777,1072.50,0.1453
52,6.9630,6.9269,1019.29,0.1456
53,6.8271,6.8800,972.66,0.1467
54,6.7993,6.8368,931.46,0.1486
55,6.7590,6.7974,895.54,0.1509
56,6.7570,6.7611,863.57,0.1538
57,6.7394,6.7273,834.93,0.1566
58,6.8498,6.6953,808.63,0.1594
59,6.5946,6.6645,784.06,0.1609
60,6.6251,6.6353,761.53,0.1617
61,6.6120,6.6083,741.21,0.1621
62,6.5834,6.5829,722.65,0.1621
63,6.5670,6.5596,706.01,0.1622
64,6.3756,6.5384,691.20,0.1623
65,6.5084,6.5189,677.81,0.1624
66,6.5375,6.5008,665.68,0.1624
67,6.4006,6.4841,654.65,0.1625
68,6.4493,6.4686,644.58,0.1627
69,6.4202,6.4545,635.54,0.1629
70,6.3495,6.4411,627.11,0.1630
71,6.4601,6.4291,619.59,0.1630
72,6.3679,6.4175,612.49,0.1630
73,6.2946,6.4068,605.95,0.1630
74,6.3735,6.3972,600.16,0.1632
75,6.2845,6.3884,594.89,0.1635
76,6.4286,6.3807,590.34,0.1636
77,6.3244,6.3735,586.13,0.1637
78,6.5332,6.3669,582.25,0.1639
79,6.1890,6.3607,578.66,0.1639
80,6.2993,6.3546,575.13,0.1639
81,6.4007,6.3486,571.70,0.1637
82,6.4588,6.3429,568.45,0.1637
83,6.2713,6.3380,565.65,0.1637
84,6.2080,6.3335,563.11,0.1636
85,6.0318,6.3281,560.09,0.1638
86,6.1622,6.3226,557.01,0.1642
87,6.1704,6.3194,555.22,0.1645
88,6.2464,6.3176,554.25,0.1648
89,6.4080,6.3161,553.41,0.1648
90,6.4935,6.3120,551.13,0.1650
91,6.0076,6.3063,548.01,0.1652
92,6.2729,6.3008,545.01,0.1655
93,6.3040,6.2968,542.85,0.1657
94,6.2820,6.2940,541.34,0.1660
95,6.1866,6.2909,539.65,0.1662
96,6.2264,6.2871,537.61,0.1667
97,6.2969,6.2832,535.50,0.1671
98,6.3054,6.2802,533.92,0.1678
99,6.4059,6.2803,533.93,0.1683
100,6.1864,6.2825,535.14,0.1688
200,6.0707,5.9562,386.13,0.1919
400,5.3790,5.4212,226.15,0.2202
600,5.0830,5.1026,164.45,0.2401
800,4.8280,4.8896,132.90,0.2565
1000,4.8391,4.7337,113.71,0.2684
