step,V_train,C,K,V_val,val_ppl
25,7.2529,5995324.9,43483318.6,7.2395,1393.42
50,6.4647,5995718.6,38760468.8,6.3381,565.74
75,6.1215,5996002.6,36704461.2,6.1807,483.33
100,6.1448,5996186.3,36845635.4,6.0785,436.37
125,5.8224,5996337.2,34913159.8,5.9849,397.40
150,5.8191,5996479.0,34894070.4,5.8890,361.04
175,5.7026,5996629.5,34196399.3,5.8091,333.32
200,5.5294,5996789.0,33158552.9,5.7149,303.34
225,5.5984,5996942.1,33572989.6,5.6231,276.75
250,5.3397,5997116.8,32022540.1,5.5499,257.20
275,5.5035,5997305.9,33005981.3,5.4670,236.75
300,5.1014,5997508.5,30595732.0,5.4045,222.41
325,5.2084,5997713.1,31238255.7,5.3247,205.34
350,5.1387,5997933.1,30821479.0,5.2644,193.33
375,5.1631,5998160.0,30968852.5,5.2053,182.24
400,5.0293,5998381.9,30167537.6,5.1534,173.01
425,4.7363,5998613.3,28411046.1,5.1059,164.99
450,4.9162,5998854.7,29491424.6,5.0671,158.72
475,4.8548,5999091.9,29124298.3,5.0163,150.86
500,4.7474,5999330.6,28481206.7,4.9751,144.77
525,4.8425,5999570.6,29052956.0,4.9468,140.73
550,4.7686,5999814.3,28610845.8,4.9136,136.12
575,4.5935,6000059.4,27561033.5,4.8844,132.21
600,4.6131,6000307.8,27680203.5,4.8513,127.90
625,4.6573,6000554.8,27946586.9,4.8249,124.58
650,4.4578,6000799.0,26750590.4,4.8037,121.96
675,4.7507,6001038.5,28509099.5,4.7800,119.11
700,4.4297,6001285.8,26583963.6,4.7544,116.09
725,4.3782,6001528.3,26275808.8,4.7432,114.80
750,4.5427,6001782.4,27264044.0,4.7185,112.00
775,4.5340,6002023.8,27213149.8,4.7044,110.43
800,4.3045,6002265.1,25836550.2,4.6862,108.44
825,4.2629,6002513.9,25588255.9,4.6617,105.82
850,4.3920,6002758.0,26363859.4,4.6440,103.96
875,4.4505,6003007.7,26716417.4,4.6333,102.86
